#start	end	length	mean	median	max
1	216	216	2195.86	2187	4498
631	634	4	111.00	148	149
1103	1114	12	92.08	100	101
2595	2718	124	274.02	259	401
3400	3402	3	32.00	48	48
4231	4249	19	1583.84	470	8000
4320	4387	68	1517.50	418	8000
4459	4504	46	2344.00	616	8000
4575	4621	47	826.21	682.5	2934
4691	4696	6	2394.00	612	6304
4777	4936	160	462.84	4	7063
5018	5240	223	30.44	14	83
7143	7602	460	743.18	354	2670
9241	9267	27	763.96	800.5	923
9622	9910	289	231.96	69	1364
12637	12727	91	417.99	96.5	958
13553	13701	149	1151.07	354	4141
13981	13982	2	34.00	68	68
14244	14247	4	89.00	119	119
16609	16660	52	1031.56	109	3891
16756	16862	107	677.70	43	5249
18270	18379	110	345.05	145	976
20557	20568	12	197.75	213	227
21139	21151	13	58.77	36	160
22715	22772	58	1074.90	203	2317
22890	22902	13	4018.08	4352	4357
22993	23323	331	127.43	60	518
25457	26077	621	328.49	237	4607
27356	27556	201	1192.98	18.5	4490
28832	28900	69	211.84	194.5	312
30065	30070	6	39.17	47	47
31850	31960	111	805.79	493	2140
32372	32404	33	133.52	152	159
32678	32679	2	51.00	102	102
35246	35250	5	303.00	376	391
35542	35543	2	121.00	242	242
36546	36555	10	63.90	71	72
37609	37737	129	388.42	305.5	657
39815	39879	65	25.45	26	29
40579	40650	72	230.85	105	452
42061	42104	44	574.66	522	1531
44173	44298	126	116.55	99	196
44434	45040	607	97.29	63	377
46037	46041	5	48.60	61	63
49281	49334	54	615.69	14	1838
51095	51271	177	34.71	29	55
52262	52458	197	385.36	205	801
56184	56223	40	109.15	114	119
57712	57740	29	100.97	105.5	114
61296	61618	323	1541.23	49	6309
61826	61942	117	562.31	645	1135
63141	63144	4	54.00	72	72
63997	64015	19	6.32	6	9
67021	67038	18	15.89	18	21
67297	67309	13	9.08	10	10
69187	69190	4	5.50	7	8
71961	72020	60	121.03	120	145
72816	72817	2	86.50	173	173
73415	73445	31	782.97	872.5	879
74208	74232	25	338.96	353	380
74743	74746	4	1109.50	1474	1496
75332	75526	195	1610.88	1686.5	3009
77234	77239	6	1163.83	1398	1450
77954	78089	136	2983.76	111	7864
78279	78301	23	1364.48	1604	2756
80104	80195	92	1315.54	266	3233
80463	80588	126	416.17	368	873
81645	82057	413	267.90	274.5	557
82313	82325	13	9.23	10	12
84111	84358	248	175.96	30	639
86138	86409	272	71.88	37	233
86530	86655	126	84.26	84	104
88675	88832	158	352.72	321	715
89642	89956	315	489.66	167.5	1968
90143	90151	9	301.56	340.5	343
91502	91557	56	304.00	389	420
92929	92951	23	328.26	329.5	395
94965	95190	226	892.12	458	2244
95884	95896	13	83.77	89.5	101
96824	96958	135	856.50	494.5	3791
97045	97255	211	4228.59	3846.5	7997
98914	98935	22	897.95	942	943
99838	99938	101	105.89	54	277
100467	100541	75	651.85	491	1147
101484	101642	159	195.10	141	398
102354	102460	107	1223.79	185	2962
103919	104124	206	1097.19	730	2667
106150	106151	2	58.00	116	116
107256	107470	215	165.13	118.5	561
108992	109024	33	285.91	297	329
110720	110927	208	843.40	130	2184
112671	112827	157	191.68	119.5	483
113293	113332	40	2397.18	3023	3260
114473	114499	27	406.41	422	449
115418	115458	41	481.85	630	637
116017	116361	345	316.39	228	694
118222	118253	32	224.09	232	249
118821	118822	2	71.00	142	142
119651	119979	329	106.53	6	687
120673	120695	23	1416.91	1481.5	1491
120990	121001	12	320.33	349	358
122886	122947	62	3.68	4	5
124490	124657	168	108.95	43	448
127785	127930	146	224.79	225	360
129116	129382	267	713.60	68.5	5943
130766	131052	287	993.43	124.5	5479
132247	132345	99	655.01	184	1592
134782	134970	189	1888.39	33	8010
135100	135141	42	271.93	276	329
137761	137856	96	692.67	833	920
138205	138406	202	1814.69	222	7999
139265	139318	54	1080.31	952	2042
139442	139616	175	253.17	177	850
140040	140452	413	1175.34	704	3882
141311	141645	335	527.06	283	1371
141741	142027	287	166.68	85	487
142127	142226	100	55.70	61	97
143592	143593	2	13.50	27	27
144833	145015	183	140.04	16	862
146363	146443	81	604.56	163	1610
146576	146812	237	130.69	141.5	181
147269	147280	12	159.75	178	180
149352	149382	31	156.61	152	192
150109	150341	233	1136.88	385	5519
151989	152047	59	89.95	85	138
153701	153726	26	44.27	45	57
154711	154713	3	3.33	5	5
156162	156333	172	457.09	603	890
157798	157812	15	61.80	65	78
158509	158518	10	53.90	62	70
158738	158741	4	72.75	97	98
159600	159629	30	76.10	78	88
159834	159936	103	633.83	629	934
160519	160533	15	79.93	86	89
161122	161156	35	150.20	163	180
162827	162927	101	539.65	683.5	1191
163969	163982	14	85.86	93	99
165529	165542	14	83.14	90	95
166143	166149	7	211.00	246	248
166636	166659	24	175.83	187	190
168729	168881	153	1898.19	534.5	4059
169800	170021	222	347.51	358	601
170124	170144	21	207.90	218	241
170253	170614	362	160.13	107	335
170685	170703	19	181.26	202	221
171424	171426	3	158.67	238	238
172396	172469	74	51.32	55	91
173750	173777	28	155.18	151	194
174453	174690	238	423.91	184	1168
175404	175452	49	142.55	139	196
176719	176723	5	137.00	171.5	173
177483	177559	77	1464.09	1939.5	1983
178649	178711	63	705.25	987.5	1369
179885	179896	12	54.75	60	62
181432	181864	433	826.90	268	4397
182762	182780	19	259.53	275	291
183702	183725	24	346.62	364	381
184287	184797	511	399.45	384.5	850
185818	185823	6	36.83	45	45
187737	187996	260	1167.41	674	2705
188669	188680	12	106.58	117	120
190184	190185	2	108.50	217	217
191434	191446	13	104.77	112	118
191987	192010	24	151.50	163	184
192812	193209	398	174.52	165	290
194422	194450	29	64.76	67	71
194736	194798	63	342.06	352.5	446
194898	195056	159	879.86	7	4271
195588	195595	8	67.62	78	79
197102	197125	24	178.50	187	194
199998	200009	12	74.50	81	85
200775	200991	217	1247.18	37	4605
201694	201705	12	87.92	95	107
202531	202542	12	124.92	134	142
203551	203617	67	349.61	470.5	632
204773	204841	69	573.04	294.5	1635
205253	205280	28	364.36	385	400
205635	205652	18	395.44	466	490
205797	205873	77	1722.62	1997	2042
206888	206914	27	161.26	182	193
207908	207931	24	289.00	314	324
208205	208865	661	458.38	390	1338
209247	209264	18	953.72	1017	1044
211644	211849	206	21.45	18	45
213377	213392	16	423.69	449	472
214589	214744	156	176.10	211	313
216095	216200	106	191.62	65	672
218064	218265	202	347.18	160	1284
219016	219097	82	201.46	112	390
220247	220258	12	70.17	77	83
222122	222219	98	416.40	236	1009
223876	223890	15	61.27	67.5	70
224689	224691	3	12.33	18.5	19
225796	225848	53	506.94	497	618
226989	227006	18	179.17	192	216
227556	227685	130	377.71	28	1357
228163	228338	176	349.70	192	1508
229500	229523	24	81.12	85	90
230502	230650	149	402.80	105.5	1469
230870	230972	103	1863.85	2499.5	2578
232341	232466	126	386.18	52	1434
233544	233580	37	911.89	962	979
233647	233928	282	271.89	285	462
234760	234972	213	81.88	19	337
237046	237296	251	363.46	14	4345
238467	238506	40	1172.12	335	8001
238576	238707	132	554.81	340	7842
240157	240353	197	1420.56	622	4053
241083	241192	110	3627.40	6497	6609
241988	242005	18	177.78	190	204
242651	242676	26	213.27	229	249
243847	243848	2	57.50	115	115
244377	245097	721	251.02	187	675
246163	246257	95	689.01	980	1050
246627	246628	2	73.00	146	146
247547	247559	13	228.00	253.5	256
249291	249296	6	191.50	230	233
250644	250645	2	67.50	135	135
251567	251578	12	62.08	71	73
252249	252271	23	2148.00	2283	2423
252704	252911	208	1784.97	102	7430
255394	255584	191	3282.92	733	7995
257061	257083	23	806.70	850	894
258170	258178	9	256.44	289	292
258716	258800	85	101.00	101	116
260349	260360	12	69.17	71	92
261375	261487	113	1552.42	1640.5	2186
261558	261718	161	886.47	4	2478
263180	263194	15	212.00	226	238
263309	263313	5	86.60	108	109
264607	264708	102	194.08	178	316
267019	267020	2	46.00	92	92
268065	268079	15	77.20	82	85
269340	269377	38	163.53	161	198
270921	271080	160	243.46	123	978
271681	271794	114	86.34	51	203
272551	272625	75	659.96	101	1683
