#start	end	length	mean	median	max
1	317	317	1.73	1	5
354	2217	1864	20.65	17	80
2263	6284	4022	143.06	39	2613
6322	7423	1102	7.00	5	112
7599	7810	212	52.83	46	98
8457	8536	80	25.35	26	47
8742	8875	134	43.66	45	62
9228	9262	35	33.54	28	57
9600	9607	8	80.00	91	95
9966	9999	34	65.50	67	78
11066	13538	2473	74.22	66	260
13584	14519	936	2.00	1	8
14556	15235	680	235.62	207	785
15281	16798	1518	12.05	10	42
16850	21205	4356	37.07	32	126
21249	21964	716	38.07	20	130
22009	24743	2735	24.50	21	125
24780	29711	4932	40.99	27	380
29763	31900	2138	9.20	1	157
32358	32575	218	47.90	38	96
32624	34259	1636	17.55	7	86
34293	35932	1640	27.13	19	125
35964	36486	523	41.50	43	76
36532	36990	459	201.43	250	484
37664	38506	843	10.70	8	31
38550	43285	4736	12.14	10	56
43329	45067	1739	42.69	24	310
45201	46305	1105	3.00	2	14
46907	48267	1361	28.11	22	156
48312	50142	1831	36.61	37	88
50666	50715	50	22.00	23	31
51602	51697	96	5.16	3	12
51942	52015	74	18.97	18	36
52257	52512	256	13.29	9	30
52760	53815	1056	368.18	17	3473
55356	55420	65	110.48	105.5	187
55491	55565	75	221.08	203.5	457
55599	55795	197	3999.69	2899.5	7999
55945	58048	2104	7154.39	7892	8004
58154	58799	646	4980.30	5670	7998
58913	58940	28	707.29	745	764
59012	59046	35	790.94	788	1402
59118	59130	13	60.23	64	69
59164	59379	216	6.37	2	36
59714	59788	75	2.67	2	5
59885	63324	3440	17.41	16	49
63716	63738	23	11.43	12	12
63974	64228	255	11.24	8	26
64959	65229	271	6.01	6	9
65651	65748	98	7.01	6	22
66059	66255	197	13.29	10	28
66306	69349	3044	6.75	5	35
70359	72168	1810	18.99	13	119
72497	72525	29	5.21	5	7
72995	73068	74	4.41	4	6
73769	75200	1432	15.19	13	57
75245	77815	2571	48.72	17	390
77854	80625	2772	7.50	6	27
81530	82516	987	31.60	31	76
82803	83406	604	23.83	20	65
83762	85542	1781	41.81	29	190
86174	86282	109	5.74	5	9
86329	91834	5506	11.73	7	108
92232	93409	1178	14.99	10	57
93453	95160	1708	9.02	6	34
95468	95506	39	1.36	1	2
95548	100840	5293	4.45	3	25
101808	101868	61	22.56	23	28
101916	102553	638	39.49	4	316
102617	102641	25	3.72	4	4
102677	105931	3255	8.82	8	25
105969	106067	99	0.46	0	1
106188	106594	407	3.94	4	8
106628	108096	1469	136.32	38	550
108145	108943	799	37.03	32	102
109437	109519	83	139.77	173.5	187
109914	110290	377	37.59	27	100
110799	111208	410	13.18	12	23
111411	111497	87	17.98	17.5	25
111543	116058	4516	12.38	8	117
116648	116730	83	11.47	11	25
118541	118612	72	4.61	5	7
118656	119097	442	47.33	32	149
119162	120508	1347	23.14	20	85
121296	122055	760	11.99	10	30
122300	122370	71	8.97	10	10
122876	123861	986	7.16	6	21
124418	124431	14	6.43	7	8
124790	125028	239	8.31	7	15
125210	125568	359	11.03	10	30
126245	130792	4548	14.71	8	100
131352	134341	2990	19.94	12	195
134384	135852	1469	21.17	8.5	130
135896	137229	1334	26.20	14	95
137456	137502	47	54.38	55	70
138113	138303	191	81.61	66	150
138779	139459	681	18.08	15	52
139815	140880	1066	248.44	211	880
140927	142827	1901	14.36	8	94
142964	143478	515	20.44	16	50
143816	143819	4	2.25	3	3
143863	145122	1260	34.83	31	94
145324	145498	175	5.67	7.5	11
