#start	end	length	mean	median	max
1	653	653	1.06	0	5
2010	2025	16	60.31	71	77
4185	4481	297	1.77	2	11
6900	7270	371	106.35	35.5	658
10204	10225	22	11.95	14	15
11081	11611	531	4.21	2	63
12869	13058	190	7.43	8	15
13314	13328	15	138.67	150	181
14586	14692	107	19.80	14	50
15161	15331	171	9.49	8	21
16907	17042	136	0.62	0	4
17892	18330	439	141.18	5	1619
19540	19642	103	8.22	7	17
23880	24110	231	2.34	2	4
25791	26015	225	4.79	4	14
26925	27118	194	7.45	8	22
29716	29787	72	6.62	6	16
30328	30476	149	6.74	2	34
30900	31041	142	3.08	3	8
31612	31773	162	4.94	5	13
33163	33174	12	25.58	29	30
34168	34186	19	5.74	6	9
34898	35023	126	1.04	1	2
37979	38092	114	6.19	6	13
39005	39041	37	8.46	11	14
40233	40297	65	4.08	4	6
41321	41586	266	1.38	1	5
42346	42475	130	1.96	2	3
42830	42890	61	2.66	2	7
43611	43826	216	1.05	1	3
44568	44730	163	2.41	1	8
46252	46637	386	1.49	0	10
46992	47015	24	2.04	2	3
48009	48184	176	0.41	0	3
50429	50443	15	3.20	4	4
51143	51459	317	57.46	55.5	171
52318	53048	731	5.98	3	23
53922	54059	138	5.35	2	17
54270	54481	212	7.26	4	32
54878	55045	168	44.51	15	143
56614	56650	37	2.41	2	4
57962	58027	66	5.64	6	9
58892	59381	490	24.46	13	113
59862	60076	215	18.59	17.5	44
60968	61095	128	11.06	8	43
62555	62627	73	0.00	0	0
63534	63668	135	3.58	4	7
64398	64672	275	2.98	3	7
65075	65146	72	0.19	0	1
65888	66074	187	1.89	2	5
67179	68095	917	16.55	4	133
68765	68796	32	1.28	1	2
69973	69975	3	1.33	2	2
71332	71488	157	1.40	0	21
72674	72781	108	1015.81	940	1851
73706	73713	8	116.50	132	142
77396	77506	111	18.86	16	75
77580	77641	62	39.74	32	113
78818	78866	49	3.24	3	5
80856	81212	357	1478.41	3	8003
82812	82905	94	5.26	6	8
84475	84554	80	17.57	18	29
84867	85024	158	5.94	4	19
85604	85692	89	7.91	8	12
89371	89550	180	1.88	1	7
91631	91807	177	4.04	0	17
95350	95580	231	60.20	1	824
98081	98309	229	10.02	3	38
99084	99131	48	1.83	2	3
99576	99688	113	2.64	1	7
103661	103877	217	4.06	4	6
104340	104747	408	23.61	17	51
108311	108376	66	10.17	8	27
109754	109945	192	10.46	7	35
111137	111299	163	1.16	1	7
111639	111755	117	3.84	4	11
112206	112237	32	3.25	3	6
114926	114930	5	1.20	1.5	2
115999	116249	251	1.80	1	9
118256	118382	127	3.40	2.5	16
119241	119361	121	4.19	5	9
119935	120044	110	2.95	3	7
120639	120943	305	9.18	1	37
122222	122241	20	2.85	3	3
123046	123146	101	62.44	16.5	216
123414	124043	630	3.63	1	40
126881	127188	308	5.14	5	12
130456	130772	317	2.14	2	6
132015	132221	207	3.37	2	21
133976	133977	2	10.50	21	21
135346	135350	5	52.40	65	67
135726	135761	36	5.36	7	8
136863	136966	104	5.11	2	22
137949	138447	499	2.49	1	21
140185	140194	10	8.40	9	10
141491	141569	79	68.76	76	128
142795	142871	77	2.55	2	7
143472	143587	116	3.34	2	10
146894	146992	99	5.30	5	11
148874	148877	4	20.50	28	28
149793	149797	5	38.00	47.5	48
151322	151761	440	17.24	8	62
154228	154333	106	45.06	44	81
155063	155244	182	13.02	12	24
155428	155786	359	4.45	2	29
156477	156479	3	12.00	18	18
157548	157649	102	6.72	7	13
163275	163367	93	5.27	6	10
165964	165976	13	81.00	86	100
167003	167050	48	15.54	8	46
169127	169314	188	2.94	1	15
170647	170702	56	1.54	1	3
172761	172913	153	31.44	14	1448
173317	173400	84	57.75	33	350
174847	174881	35	2.66	3	4
176055	176090	36	2.75	3	3
176451	176651	201	10.72	12	20
176883	177532	650	15.14	15	48
177824	178307	484	1.40	1	10
179676	179809	134	4.69	4	7
181148	181179	32	3.62	5	5
182548	182739	192	0.32	0	1
183802	184404	603	1.46	1	8
184918	185907	990	2.79	1	19
186220	187001	782	3.69	3	14
187887	188235	349	1.62	1	6
189112	189143	32	1.38	1	2
190302	190330	29	2.62	3	3
191283	191459	177	0.44	0	3
191937	192159	223	0.47	0	1
193135	193390	256	14.62	15	28
193850	194021	172	1.91	2	4
194301	194760	460	1.36	1	3
195580	195662	83	24.06	28.5	40
196116	196285	170	2.22	2	7
197168	197444	277	0.69	1	2
197853	197955	103	1.84	1	7
200185	200452	268	6.46	2	35
201017	201208	192	0.48	0	2
201932	202063	132	1.08	0	12
202922	203004	83	0.00	0	0
208721	208879	159	1.30	1	9
209852	209966	115	2.90	3	7
210807	211022	216	1.27	1	2
211932	211980	49	4.82	5	7
212431	212761	331	1.35	1	4
214256	214502	247	3.90	2.5	11
215385	215390	6	1.67	2	2
217067	217227	161	1.14	1	2
218653	218774	122	25.16	25	46
219849	219992	144	10.56	11	20
220857	220961	105	0.93	0	3
221181	221235	55	0.04	0	1
222187	222393	207	3.48	2	13
222976	223100	125	2.74	3	4
223293	223446	154	7.89	6	20
225694	225827	134	0.96	1	4
226830	227033	204	0.97	1	2
228306	228666	361	1.10	1	4
228982	229091	110	20.86	17	37
230121	230238	118	5.36	5	10
231607	231608	2	6.50	13	13
232596	232598	3	3.33	5	5
235692	235776	85	0.99	1	1
236473	236491	19	4.47	5	5
238028	238034	7	9.43	10.5	14
238446	238463	18	1.89	2	2
238632	238637	6	0.00	0	0
241695	241715	21	7.81	9	12
243681	243720	40	1.93	2	3
244342	244590	249	4.43	4	10
244990	245096	107	6.95	7	11
246510	246606	97	1.15	1	4
248669	248790	122	2.30	2	4
249001	249088	88	11.42	11	18
250663	250724	62	15.95	16	24
251577	251588	12	1.83	2	2
251940	251955	16	1.69	1	3
254242	254258	17	0.94	1	1
255777	255880	104	0.00	0	0
256730	256773	44	3.07	3	4
260738	260922	185	2.92	2	7
262027	262199	173	35.08	37	62
263763	263912	150	1.35	1	3
264744	264957	214	1.67	2	4
267085	267233	149	5.02	5	11
269790	270035	246	1.46	1	4
270567	270685	119	1.59	1	4
272276	272576	301	4.98	4	13
277119	277483	365	0.82	1	3
277985	278059	75	1.60	1	3
280037	280319	283	4.80	3	17
281112	281130	19	16.32	18	20
283922	284007	86	8.49	6	17
284785	285046	262	2.49	2	6
285977	286102	126	4.78	5	7
286988	287202	215	10.64	7	39
287800	288007	208	1.64	1	3
289400	289453	54	1.72	2	3
292832	293013	182	0.00	0	0
293737	293970	234	5.70	4	18
294922	295083	162	4.90	5	9
295423	295511	89	3.61	4	8
296664	296784	121	1.70	1	6
298027	298357	331	1.41	1	10
298634	298793	160	5.08	4	13
299487	299523	37	2.14	3	4
300163	300257	95	5.46	5	13
300825	300981	157	2.45	2	6
303353	303411	59	12.58	11	29
304402	304580	179	1.45	1	4
306522	306542	21	3.81	4	4
308325	308512	188	0.64	1	2
308909	309425	517	4.41	3	23
309603	309671	69	2.10	3	3
310308	310566	259	3.97	3	12
311839	311919	81	2.07	2	3
312616	312672	57	22.28	15	37
314212	314442	231	0.77	1	2
314875	314891	17	3.53	4	4
315942	316126	185	0.66	1	1
316721	316800	80	1.21	1	3
318361	318429	69	5.26	5	8
320471	320555	85	4.49	5	7
320937	320938	2	0.00	0	0
322178	322270	93	0.00	0	0
323132	323553	422	0.70	0	3
326902	327061	160	6.49	6	14
328559	328626	68	4.04	3	7
330847	330851	5	4.80	6	6
332265	332289	25	5.88	4	10
333454	333621	168	3.29	1	12
334501	334724	224	1.20	1	8
335907	335976	70	26.14	18	54
336751	336960	210	1.59	2	4
338170	338277	108	6.23	5	16
339400	339638	239	2.65	3	7
340320	340354	35	8.63	8	13
341201	342004	804	21.87	5	284
342620	342645	26	0.00	0	0
343624	343694	71	30.24	27.5	47
345777	345807	31	17.84	19	21
347011	347088	78	2.06	2	4
348294	348414	121	0.62	1	1
350851	350966	116	8.69	8	22
351657	351695	39	9.00	4	24
353399	353424	26	2.50	3	4
356092	356218	127	7.35	6	18
358528	358531	4	7.75	10	11
359021	359029	9	3.00	3	4
359573	359860	288	22.09	4	125
361402	361477	76	148.37	11	556
361551	361719	169	85.12	51	622
364619	364722	104	32.80	20	133
364838	364945	108	96.07	92	1241
365019	365093	75	131.73	110	246
365176	365198	23	271.48	295	331
365270	365324	55	419.67	497.5	644
365398	365434	37	660.89	762.5	793
366623	366684	62	153.92	129	291
366758	366773	16	111.31	132	143
367694	367806	113	85.10	74	249
368239	368250	12	246.25	257	416
368944	369118	175	303.19	137.5	1022
369650	369682	33	364.06	367	495
370061	370154	94	178.70	29	834
374259	374307	49	130.04	129	178
378553	378668	116	86.57	84	167
379047	379069	23	1481.04	1690	2091
379595	379611	17	226.59	233.5	265
381694	381716	23	119.17	126	130
382905	382912	8	125.00	143	143
383228	383264	37	172.76	178	232
384518	384534	17	131.47	135	216
384811	384824	14	398.93	423	515
385650	385873	224	132.80	137	240
386292	386296	5	181.00	230	246
386951	386969	19	87.95	79	121
387381	387382	2	64.50	129	129
387575	387578	4	123.50	164	167
387831	387921	91	73.66	74	98
388285	388299	15	189.67	202.5	247
388627	388635	9	92.89	104	107
389194	389223	30	124.70	130	157
389509	389539	31	157.10	162.5	188
389927	389946	20	421.45	446	592
390854	390865	12	186.67	210	236
391370	391374	5	197.20	242	260
391558	391559	2	28.00	56	56
393323	393341	19	65.84	71.5	77
393453	393532	80	36.10	29	55
393887	393912	26	316.54	401	407
394309	394327	19	221.47	240.5	272
394946	394966	21	135.43	145	183
395957	395977	21	180.14	189.5	241
396359	396428	70	27.76	35	53
396915	396991	77	7.13	8	12
398357	398520	164	1.31	1	4
399277	399349	73	22.68	25	40
400657	400663	7	58.29	68.5	75
401954	401956	3	20.00	30	30
404070	404181	112	9.81	8	18
404485	404661	177	1.88	2	3
407350	407662	313	17.89	13	79
408494	408710	217	5.07	2	16
409138	409314	177	0.44	0	1
410680	410770	91	15.70	14	43
411113	412547	1435	12.94	11	40
413184	413498	315	92.17	43	410
413883	414140	258	0.43	0	7
414738	414779	42	5.14	6	7
419067	419231	165	3.64	3	10
422621	422626	6	17.00	21	22
423344	423534	191	1.28	1	3
424569	424814	246	2.27	3	3
425295	425368	74	0.91	1	4
428222	428406	185	9.02	3	39
428986	428998	13	23.92	26	30
430016	430044	29	9.45	12	12
431720	431781	62	2.69	1	8
431893	431952	60	42.33	44	57
433009	433097	89	1.18	1	2
433635	433821	187	3.22	2	8
434527	435143	617	14.30	11	53
436005	436107	103	3.43	3	7
436561	436578	18	39.56	42	46
436942	436970	29	88.00	87	118
438496	438584	89	25.49	24	46
439959	440212	254	3.59	2	13
440885	441320	436	4.09	4	16
443022	443203	182	2.43	2	5
444746	445084	339	2.68	2	13
447066	447267	202	7.57	9	15
447607	447821	215	22.68	19	47
448263	448283	21	3.67	4	6
448830	449519	690	2.30	2	7
452661	452672	12	3.08	4	4
453312	453680	369	13.08	12	27
454587	454592	6	3.33	4	4
454836	455155	320	1.56	1	6
460801	460915	115	21.61	19	40
462335	462426	92	5.23	3	13
463774	463901	128	2.70	3	4
464136	464224	89	1.61	2	3
464762	464891	130	1.68	1	6
465888	465997	110	306.41	93	1588
466229	466587	359	105.95	5	1591
466897	467112	216	8.70	8	21
467539	467558	20	0.80	1	1
468909	469035	127	3.79	3	8
471862	471885	24	3.08	4	4
472264	472267	4	4.50	6	6
472793	472960	168	111.97	1	1113
473570	473738	169	4.28	4	10
474546	474810	265	0.10	0	1
476809	477095	287	3.37	3	7
477312	477489	178	7.29	5	18
478537	478630	94	7.49	4	20
478841	479013	173	19.84	10	75
479272	479274	3	18.67	28	29
479617	479718	102	7.57	6	14
480079	480147	69	3.39	4	4
480745	480921	177	8.85	1	42
484410	484815	406	10.59	5	36
485383	485396	14	150.79	168	172
485679	485696	18	30.00	35	37
486333	486334	2	21.00	42	42
487418	487424	7	60.14	72	72
490569	490585	17	46.88	51	52
491393	491402	10	83.00	99	106
491985	492129	145	140.00	82	413
492409	492590	182	23.53	7	196
493233	493270	38	57.55	61	74
496298	496445	148	15.70	3	57
497700	497704	5	2.40	3	3
500624	500625	2	3.50	7	7
501409	501695	287	6.43	5	18
503283	503311	29	7.86	8	10
504179	504182	4	14.25	19	20
505530	505538	9	5.00	5	8
506019	506034	16	44.75	42	68
506470	506478	9	0.89	1	1
508462	509029	568	28.27	8	233
510659	510662	4	29.25	39	39
511512	511960	449	1.41	1	10
512732	512911	180	10.42	5	61
513920	514071	152	30.54	30	56
514816	514889	74	1.81	2	3
515430	515575	146	6.63	2	24
