#start	end	length	mean	median	max
1	158	158	10.42	0	38
1713	1794	82	41.41	19	100
2896	3046	151	3.15	0	18
5102	5149	48	0.00	0	0
5196	5272	77	1.17	0	10
5714	5838	125	0.00	0	0
6080	6499	420	7.45	0	89
9134	9163	30	0.37	0	11
9206	9364	159	4.69	0	20
10292	10327	36	37.86	49	52
10363	10393	31	13.00	13	16
11069	11090	22	4.09	0	10
11544	11671	128	45.38	21	103
11703	12068	366	12.31	13	34
12305	12416	112	135.25	132	245
12726	12732	7	162.57	189.5	191
13087	13340	254	41.94	0	434
13623	13981	359	0.25	0	40
14065	14080	16	960.25	511	4682
14429	14437	9	26.78	30	33
15209	15369	161	9.88	0	37
15895	15999	105	29.02	11	119
16654	16668	15	1.33	0	10
16706	16736	31	5.55	0	24
17058	17322	265	25.71	13.5	95
19498	19762	265	0.00	0	0
20084	20118	35	0.00	0	0
21249	21325	77	0.00	0	0
22280	22324	45	0.00	0	0
22360	22394	35	0.00	0	0
24408	24448	41	1.05	0	16
24482	24505	24	0.00	0	0
26239	26267	29	3.03	0	12
26302	26308	7	0.00	0	0
26948	27011	64	15.92	0	43
28855	28943	89	14.10	0	65
28986	28995	10	0.00	0	0
29851	29940	90	2.23	0	21
29973	29991	19	51.84	60	74
31054	31249	196	6.72	0	88
32165	32251	87	13.61	0	45
34163	34363	201	9.46	0	32
34395	34411	17	0.00	0	0
35738	36106	369	7.79	0	29
36458	36523	66	44.21	42	60
37802	38080	279	32.04	21	104
38475	38535	61	0.00	0	0
38810	39077	268	0.00	0	0
39102	39109	8	0.00	0	0
39671	39690	20	0.00	0	0
40576	40628	53	0.00	0	0
40671	40681	11	16.91	19	21
42041	42156	116	16.67	17	24
42855	42973	119	4.50	0	31
44012	44036	25	5.56	0	15
44070	44154	85	0.00	0	0
44197	44214	18	0.00	0	0
47428	47440	13	53.23	55	71
47972	49538	1567	54.02	0	891
49926	50259	334	7.37	10	19
50450	50523	74	10.66	13	30
51655	51926	272	11.69	0	52
52242	52466	225	2.97	0	15
52499	52526	28	16.00	16	20
55668	57121	1454	26.93	0	367
58199	58419	221	2.99	0	29
58493	58574	82	3.02	0	18
59082	59487	406	322.28	213	1091
59863	59980	118	96.46	54	227
60479	60496	18	78.00	81	95
61190	61250	61	39.33	18.5	115
61606	61830	225	27.62	28	56
63505	63517	13	11.85	13	15
63554	63620	67	10.63	0	71
64710	64746	37	13.86	19.5	24
66858	66921	64	8.70	0	35
68215	68230	16	24.12	26	27
68261	68980	720	121.40	32	736
69006	69022	17	11.29	13.5	17
69777	70213	437	120.43	0	1123
71171	71268	98	34.88	39	59
71294	71314	21	29.19	32	36
74102	74115	14	30.21	31	38
74158	74484	327	10.22	0	40
74510	74742	233	7.88	0	40
74768	74782	15	0.00	0	0
75578	76564	987	5.48	0	56
77057	77088	32	88.59	94	110
78055	78310	256	0.04	0	10
78492	78745	254	0.00	0	0
78784	78812	29	0.00	0	0
79470	80057	588	0.00	0	0
80329	80405	77	5.21	0	24
81335	81550	216	1.28	0	12
81584	81943	360	21.49	0	189
81977	81988	12	0.00	0	0
85421	85955	535	2.66	0	65
86411	86664	254	25.51	14	75
87499	87510	12	0.00	0	0
87543	87552	10	0.00	0	0
88843	88884	42	0.00	0	0
