EMBL	Experiment_Name	Strand_Correlation	Core_On	Core_Rfam_On	Concordance
AE008923.1	SRP013943/SRR516325	0.9158945	0.85	0.786885	0.711673
AE008923.1	SRP013943/SRR516336	0.9256339	0.85	0.836066	0.693609
AE008923.1	SRP013943/SRR516348	0.918733	0.85	0.934426	0.647422
AE008923.1	SRP013943/SRR516356	0.9004701	0.85	0.868852	0.749628
AE008923.1	SRP013943/SRR516361	0.9185545	0.85	0.868852	0.665943
AE008923.1	SRP013943/SRR516369	0.9169739	0.875	0.836066	0.680348
CP000100.1	SRP006795/SRR208051	-0.002775227	0.775	1	0.780981
CP000100.1	SRP006795/SRR208052	-0.001137985	0.475	0.98	0.18316
CP000100.1	SRP006795/SRR208053	-0.001120274	0.575	0.98	0.179293
CP000100.1	SRP006795/SRR208054	0.6032666	0.55	0.98	0.914748
CP000100.1	SRP006795/SRR208055	0.2846537	0	0	1
CP000100.1	SRP006795/SRR208056	0.6506846	0.45	1	0.882229
CP000100.1	SRP006795/SRR208057	0.1232232	0	0	1
CP000100.1	SRP006795/SRR208058	0.3747217	0	0.82	0.993496
CP000100.1	SRP006795/SRR208059	0.3393227	0	0	0.970294
CP000951.1	SRP007372/SRR308187	-0.01060053	0.75	0.875	0.932289
CP000951.1	SRP007372/SRR308188	-0.002833039	0.2	0.875	0.895039
CP000951.1	SRP007372/SRR308189	-0.01503079	0.275	0.875	0.911053
CP000951.1	SRP007372/SRR308190	-0.01180385	0.3	0.875	0.893821
CP000951.1	SRP007372/SRR308191	-0.004423372	0.5	0.875	0.913664
CP000951.1	SRP007372/SRR308192	-0.007414365	0.7	0.875	0.782942
CP000951.1	SRP007372/SRR308193	-0.007136245	0.775	0.875	0.896084
CP000951.1	SRP007372/SRR308194	-0.009158498	0.8	0.875	0.848738
AE006641.1	SRP001461/SRR030761	-0.001451163	0.725	0.333333	0.364748
AE006641.1	SRP001461/SRR030762	-0.00338626	0.875	0.645833	0.792434
AE006641.1	SRP001461/SRR030763	-0.002343675	0.8	0.354167	0.891407
AE006641.1	SRP001461/SRR030764	0.7363062	0.85	0.270833	0.50481
AE006641.1	SRP001461/SRR030765	0.8013882	0.9	0.291667	0.477417
AE006641.1	SRP001461/SRR030766	0.798936	0.85	0.375	0.432415
AE006641.1	SRP001461/SRR030767	0.8420366	0.775	0.354167	0.563346
AE006641.1	SRP001461/SRR030768	0.8401914	0.675	0.625	0.725909
AM743169.1	SRP014598/SRR527852	-0.001571767	0.775	0.927711	0.242108
AM743169.1	SRP014598/SRR527853	-0.0006275343	0.575	0.86747	0.0864772
AM743169.1	SRP014598/SRR527854	-0.001656947	0.775	0.903614	0.182404
AM743169.1	SRP014598/SRR527855	-0.001084257	0.7	0.903614	0.136517
CP000144.1	SRP011373/SRR441716	0.870624	0	0.266667	0.668415
CP000144.1	SRP011373/SRR441716	0.9226032	1	0.733333	0.581002
CP000144.1	SRP011373/SRR441717	0.8563123	0	0.266667	0.667249
CP000144.1	SRP011373/SRR441717	0.9054192	1	0.666667	0.516317
CP000144.1	SRP011373/SRR441718	0.9433832	0	0.266667	0.455128
CP000144.1	SRP011373/SRR441718	0.9444388	0	0.533333	0.236014
CP000144.1	SRP011373/SRR441719	0.8668125	0	0.2	0.621795
CP000144.1	SRP011373/SRR441719	0.8954828	1	0.733333	0.548951
CP000143.1	SRP011373/SRR441716	0.870624	0.925	0.386364	0.67343
CP000143.1	SRP011373/SRR441716	0.9226032	0.5	0.388889	0.559633
CP000143.1	SRP011373/SRR441717	0.8563123	0.9	0.431818	0.661581
CP000143.1	SRP011373/SRR441717	0.9054192	0.4375	0.444444	0.481382
CP000143.1	SRP011373/SRR441718	0.9433832	0.875	0.431818	0.458043
CP000143.1	SRP011373/SRR441718	0.9444388	0.15625	0.388889	0.226659
CP000143.1	SRP011373/SRR441719	0.8668125	0.9	0.363636	0.620029
CP000143.1	SRP011373/SRR441719	0.8954828	0.375	0.388889	0.537507
AE009950.1	SRX015089/SRR032433	-0.0003144548	0.717949	0.886364	0.346544
AE009950.1	SRX103303/SRR358786	0.001182013	0	0.0227273	0.0168203
AE009950.1	SRX103304/SRR358787	-0.0005435621	0.615385	0.977273	0.525806
AE015451.1	SRP003636/SRR066731	0.2103128	0.871795	0.283951	0.165226
AE015451.1	SRP003636/SRR066732	0.2688997	0.820513	0.37037	0.210739
AE004091.2	SRP011370/SRR441575	7.847411e-05	0	0.694444	0.0146191
AE004091.2	SRP011370/SRR441576	0.9396478	0	0.5	0.015852
AE004091.2	SRP013960/SRR518528	0.8794896	0.95	0.583333	0.625451
AE004091.2	SRP013960/SRR518529	0.9002844	1	0.680556	0.682695
AE004091.2	SRP013960/SRR518530	0.9046529	1	0.708333	0.695729
AE004091.2	SRP013960/SRR518533	0.001383765	0.975	0.986111	0.818054
AE004091.2	SRP013960/SRR519062	0.7200333	1	0.972222	0.61277
AE004091.2	SRP013960/SRR519063	0.8594082	0.975	0.680556	0.690445
CP000438.1	SRP009257/SRR363800	-0.003885438	0.975	0.901408	0.760793
CP000438.1	SRP009257/SRR363801	-0.002817154	0.95	0.901408	0.713102
CP000438.1	SRP009257/SRR363802	-0.002055518	0.825	0.943662	0.611697
CP000438.1	SRP009257/SRR363803	-0.001499647	0.775	0.971831	0.565512
CP000438.1	SRP009257/SRR363804	-0.0009273418	0.775	0.971831	0.178297
CP000438.1	SRP009257/SRR363805	-0.0008018811	0.85	0.985915	0.254936
CP000438.1	SRP009257/SRR363806	-0.00106529	0.825	1	0.344461
CP000438.1	SRP009257/SRR363807	-0.001403051	0.9	1	0.495566
CP000438.1	SRP011370/SRR441577	0.0001888891	0	0.802817	0.0153949
CP000438.1	SRP011370/SRR441578	0.978566	0	0.661972	0.0200803
AM942759.1	SRP007516/SRR314890	0.7018131	0.95	0.633333	0.659173
AM942759.1	SRP007516/SRR314891	0.6960362	0.95	0.6	0.652538
AM942759.1	SRP007516/SRR314892	0.7459967	0.975	0.622222	0.667189
AM942759.1	SRP007516/SRR314893	0.6846726	0.95	0.6	0.620566
BX548174.1	SRP011374/SRR441714	0.7732471	0.85	0.372093	0.736059
BX548174.1	SRP011374/SRR441715	0.9338973	0.825	0.348837	0.700124
AE015924.1	SRP007420/SRR307053	-0.003475412	0.842105	1	0.668055
AE015924.1	SRP007420/SRR307054	-0.006149011	0.894737	1	0.871632
AE015924.1	SRP007420/SRR307055	-0.01123367	0.868421	1	0.891475
AP009380.1	SRP009641/SRR387923	0.6678981	0.820513	0.490909	0.730922
AP009380.1	SRP009641/SRR387924	0.5430354	0.820513	0.345455	0.670509
AP009380.1	SRP009641/SRR387925	0.3857547	0.820513	0.327273	0.655008
AP009380.1	SRP009641/SRR387926	0.7259807	0.871795	0.618182	0.652623
AP009380.1	SRP009641/SRR387927	0.7170822	0.820513	0.672727	0.650636
AP009380.1	SRP009641/SRR387928	0.4837919	0.846154	0.381818	0.649841
AP009380.1	SRP009641/SRR387929	0.442448	0.820513	0.418182	0.737281
AP009380.1	SRP009641/SRR387930	0.4238791	0.846154	0.472727	0.63752
AP009380.1	SRP009641/SRR387931	0.6104701	0.820513	0.472727	0.718601
AP009380.1	SRP009641/SRR387932	0.4302371	0.846154	0.345455	0.657393
AE017199.1	SRP013830/SRR514574	-0.01496467	0.289474	0.324324	0.918404
AE017199.1	SRP013830/SRR514575	-0.01548676	0.289474	0.405405	0.918404
AE017199.1	SRP013830/SRR514576	-0.01434737	0.315789	0.324324	0.909338
