#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01118 	 PK-G12rRNA 	 AE017225 	 14
RF01118 	 PK-G12rRNA 	 AE017225 	 15
RF00559 	 L21_leader 	 AE017225 	 18
RF00023 	 tmRNA 	 AE017225 	 22
RF01118 	 PK-G12rRNA 	 AE017225 	 33
RF01118 	 PK-G12rRNA 	 AE017225 	 34
RF01118 	 PK-G12rRNA 	 AE017225 	 35
RF01118 	 PK-G12rRNA 	 AE017225 	 36
RF01118 	 PK-G12rRNA 	 AE017225 	 37
RF01118 	 PK-G12rRNA 	 AE017225 	 38
RF01118 	 PK-G12rRNA 	 AE017225 	 40
RF01118 	 PK-G12rRNA 	 AE017225 	 41
RF01118 	 PK-G12rRNA 	 AE017225 	 42
RF00557 	 L10_leader 	 AE017225 	 46
RF00011 	 RNaseP_bact_b 	 AE017225 	 53
RF00010 	 RNaseP_bact_a 	 AE017225 	 54
RF01766 	 cspA 	 AE017225 	 56
RF00013 	 6S 	 AE017225 	 82
RF00555 	 L13_leader 	 AE017225 	 84
RF00558 	 L20_leader 	 AE017225 	 88
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 96
RF00002 	 5_8S_rRNA 	 AE017225 	 114
RF00230 	 T-box 	 AE017225 	 128
RF00162 	 SAM 	 AE017225 	 142
RF00167 	 Purine 	 AE017225 	 145
RF00515 	 PyrR 	 AE017225 	 149
RF00556 	 L19_leader 	 AE017225 	 162
RF00002 	 5_8S_rRNA 	 AE017225 	 163
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 166
RF00002 	 5_8S_rRNA 	 AE017225 	 167
RF00002 	 5_8S_rRNA 	 AE017225 	 168
RF00002 	 5_8S_rRNA 	 AE017225 	 172
RF00002 	 5_8S_rRNA 	 AE017225 	 175
RF00002 	 5_8S_rRNA 	 AE017225 	 176
RF00002 	 5_8S_rRNA 	 AE017225 	 177
RF00002 	 5_8S_rRNA 	 AE017225 	 178
RF00002 	 5_8S_rRNA 	 AE017225 	 180
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 181
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 184
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 185
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 186
RF00002 	 5_8S_rRNA 	 AE017225 	 187
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 189
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 191
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 192
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 194
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 198
RF00005 	 tRNA 	 AE017225 	 201
RF00013 	 6S 	 AE017225 	 218
RF00167 	 Purine 	 AE017225 	 219
RF00005 	 tRNA 	 AE017225 	 247
RF01766 	 cspA 	 AE017225 	 254
RF00162 	 SAM 	 AE017225 	 271
RF00379 	 ydaO-yuaA 	 AE017225 	 283
RF00059 	 TPP 	 AE017225 	 311
RF00169 	 Bacteria_small_SRP 	 AE017225 	 312
RF00050 	 FMN 	 AE017225 	 326
RF00162 	 SAM 	 AE017225 	 352
RF00167 	 Purine 	 AE017225 	 397
RF00005 	 tRNA 	 AE017225 	 399
RF01766 	 cspA 	 AE017225 	 411
RF00379 	 ydaO-yuaA 	 AE017225 	 430
RF01854 	 Bacteria_large_SRP 	 AE017225 	 458
RF00230 	 T-box 	 AE017225 	 468
RF01067 	 ATPC 	 AE017225 	 483
RF01051 	 c-di-GMP-I 	 AE017225 	 505
RF00050 	 FMN 	 AE017225 	 522
RF00230 	 T-box 	 AE017225 	 544
RF00230 	 T-box 	 AE017225 	 549
RF00230 	 T-box 	 AE017225 	 556
RF00059 	 TPP 	 AE017225 	 580
RF00230 	 T-box 	 AE017225 	 618
RF00379 	 ydaO-yuaA 	 AE017225 	 632
RF00174 	 Cobalamin 	 AE017225 	 633
RF01411 	 BsrF 	 AE017225 	 654
RF00168 	 Lysine 	 AE017225 	 659
RF00162 	 SAM 	 AE017225 	 660
RF00230 	 T-box 	 AE017225 	 667
RF00167 	 Purine 	 AE017225 	 671
RF00162 	 SAM 	 AE017225 	 707
RF00230 	 T-box 	 AE017225 	 721
RF00005 	 tRNA 	 AE017225 	 746
RF00230 	 T-box 	 AE017225 	 774
RF00005 	 tRNA 	 AE017225 	 777
RF00005 	 tRNA 	 AE017225 	 781
RF01730 	 Termite-leu 	 AE017225 	 825
RF00168 	 Lysine 	 AE017225 	 857
RF00230 	 T-box 	 AE017225 	 862
RF00168 	 Lysine 	 AE017225 	 868
RF00005 	 tRNA 	 AE017225 	 906
RF01749 	 pan 	 AE017225 	 921
RF00234 	 glmS 	 AE017225 	 936
RF00005 	 tRNA 	 AE017225 	 952
RF00230 	 T-box 	 AE017225 	 991
RF00005 	 tRNA 	 AE017225 	 996
RF00230 	 T-box 	 AE017225 	 1007
RF00230 	 T-box 	 AE017225 	 1015
RF00080 	 yybP-ykoY 	 AE017225 	 1029
RF00005 	 tRNA 	 AE017225 	 1030
RF00230 	 T-box 	 AE017225 	 1038
RF00230 	 T-box 	 AE017225 	 1039
RF00230 	 T-box 	 AE017225 	 1046
RF01766 	 cspA 	 AE017225 	 1054
RF01820 	 RsaE 	 AE017225 	 1065
RF00005 	 tRNA 	 AE017225 	 1076
RF00230 	 T-box 	 AE017225 	 1088
RF01362 	 CRISPR-DR49 	 AE017225 	 1097
RF00005 	 tRNA 	 AE017225 	 1098
RF00230 	 T-box 	 AE017225 	 1132
RF00230 	 T-box 	 AE017225 	 1142
RF00230 	 T-box 	 AE017225 	 1143
RF00230 	 T-box 	 AE017225 	 1144
RF00515 	 PyrR 	 AE017225 	 1173
RF00230 	 T-box 	 AE017225 	 1238
RF00242 	 ctRNA_pT181 	 AE017225 	 1267
RF00005 	 tRNA 	 AE017225 	 1321
RF00162 	 SAM 	 AE017225 	 1337
RF00230 	 T-box 	 AE017225 	 1374
RF00230 	 T-box 	 AE017225 	 1375
RF00515 	 PyrR 	 AE017225 	 1395
RF00005 	 tRNA 	 AE017225 	 1396
RF01410 	 BsrC 	 AE017225 	 1428
RF00005 	 tRNA 	 AE017225 	 1497
RF01766 	 cspA 	 AE017225 	 1511
RF01705 	 Flavo-1 	 AE017225 	 1512
RF00230 	 T-box 	 AE017225 	 1568
RF00515 	 PyrR 	 AE017225 	 1585
RF00162 	 SAM 	 AE017225 	 1600
RF00168 	 Lysine 	 AE017225 	 1618
RF00230 	 T-box 	 AE017225 	 1619
RF00230 	 T-box 	 AE017225 	 1620
RF00005 	 tRNA 	 AE017225 	 1621
RF01725 	 SAM-I-IV-variant 	 AE017225 	 1648
RF00059 	 TPP 	 AE017225 	 1649
RF00230 	 T-box 	 AE017225 	 1650
RF00005 	 tRNA 	 AE017225 	 1651
RF00162 	 SAM 	 AE017225 	 1696
RF00005 	 tRNA 	 AE017225 	 1697
RF00238 	 ctRNA_pND324 	 AE017225 	 1719
RF00230 	 T-box 	 AE017225 	 1747
RF00230 	 T-box 	 AE017225 	 1748
RF00162 	 SAM 	 AE017225 	 1749
RF00005 	 tRNA 	 AE017225 	 1769
RF00005 	 tRNA 	 AE017225 	 1818
RF00230 	 T-box 	 AE017225 	 1841
RF00005 	 tRNA 	 AE017225 	 1842
RF00005 	 tRNA 	 AE017225 	 1843
RF00005 	 tRNA 	 AE017225 	 1870
RF00005 	 tRNA 	 AE017225 	 1892
RF00005 	 tRNA 	 AE017225 	 1893
RF00230 	 T-box 	 AE017225 	 1951
RF00167 	 Purine 	 AE017225 	 1952
RF00059 	 TPP 	 AE017225 	 1953
RF00230 	 T-box 	 AE017225 	 1980
RF00162 	 SAM 	 AE017225 	 1981
RF00001 	 5S_rRNA 	 AE017225 	 2026
RF00380 	 ykoK 	 AE017225 	 2027
RF00005 	 tRNA 	 AE017225 	 2028
RF00005 	 tRNA 	 AE017225 	 2029
RF00230 	 T-box 	 AE017225 	 2057
RF00230 	 T-box 	 AE017225 	 2058
RF00230 	 T-box 	 AE017225 	 2085
RF00512 	 Leu_leader 	 AE017225 	 2086
RF00522 	 PreQ1 	 AE017225 	 2126
RF00059 	 TPP 	 AE017225 	 2127
RF00005 	 tRNA 	 AE017225 	 2128
RF01725 	 SAM-I-IV-variant 	 AE017225 	 2163
RF00162 	 SAM 	 AE017225 	 2164
RF00005 	 tRNA 	 AE017225 	 2165
RF00005 	 tRNA 	 AE017225 	 2166
RF00005 	 tRNA 	 AE017225 	 2167
RF00005 	 tRNA 	 AE017225 	 2220
RF00005 	 tRNA 	 AE017225 	 2221
RF00504 	 Glycine 	 AE017225 	 2264
RF00059 	 TPP 	 AE017225 	 2265
RF00005 	 tRNA 	 AE017225 	 2266
RF00230 	 T-box 	 AE017225 	 2267
RF00230 	 T-box 	 AE017225 	 2311
RF00005 	 tRNA 	 AE017225 	 2358
RF00005 	 tRNA 	 AE017225 	 2359
RF00230 	 T-box 	 AE017225 	 2360
RF00516 	 ylbH 	 AE017225 	 2426
RF00167 	 Purine 	 AE017225 	 2473
RF00005 	 tRNA 	 AE017225 	 2474
RF00005 	 tRNA 	 AE017225 	 2475
RF00005 	 tRNA 	 AE017225 	 2542
RF00005 	 tRNA 	 AE017225 	 2543
RF00005 	 tRNA 	 AE017225 	 2608
RF01764 	 yjdF 	 AE017225 	 2680
RF00230 	 T-box 	 AE017225 	 2752
RF00005 	 tRNA 	 AE017225 	 2753
RF00005 	 tRNA 	 AE017225 	 2754
RF00001 	 5S_rRNA 	 AE017225 	 2755
RF00005 	 tRNA 	 AE017225 	 2828
RF00515 	 PyrR 	 AE017225 	 2829
RF01730 	 Termite-leu 	 AE017225 	 2830
RF00001 	 5S_rRNA 	 AE017225 	 2831
RF00005 	 tRNA 	 AE017225 	 2832
RF00005 	 tRNA 	 AE017225 	 2833
