#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01118 	 PK-G12rRNA 	 AE017225 	 21
RF01118 	 PK-G12rRNA 	 AE017225 	 22
RF00559 	 L21_leader 	 AE017225 	 23
RF00023 	 tmRNA 	 AE017225 	 28
RF01118 	 PK-G12rRNA 	 AE017225 	 43
RF01118 	 PK-G12rRNA 	 AE017225 	 45
RF01118 	 PK-G12rRNA 	 AE017225 	 46
RF01118 	 PK-G12rRNA 	 AE017225 	 47
RF01118 	 PK-G12rRNA 	 AE017225 	 48
RF01118 	 PK-G12rRNA 	 AE017225 	 49
RF01118 	 PK-G12rRNA 	 AE017225 	 50
RF01118 	 PK-G12rRNA 	 AE017225 	 51
RF01118 	 PK-G12rRNA 	 AE017225 	 52
RF00557 	 L10_leader 	 AE017225 	 62
RF00011 	 RNaseP_bact_b 	 AE017225 	 72
RF00010 	 RNaseP_bact_a 	 AE017225 	 74
RF01766 	 cspA 	 AE017225 	 76
RF00013 	 6S 	 AE017225 	 101
RF00555 	 L13_leader 	 AE017225 	 109
RF00558 	 L20_leader 	 AE017225 	 115
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 124
RF00002 	 5_8S_rRNA 	 AE017225 	 139
RF00230 	 T-box 	 AE017225 	 162
RF00162 	 SAM 	 AE017225 	 184
RF00167 	 Purine 	 AE017225 	 186
RF00515 	 PyrR 	 AE017225 	 188
RF00556 	 L19_leader 	 AE017225 	 207
RF00002 	 5_8S_rRNA 	 AE017225 	 208
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 211
RF00002 	 5_8S_rRNA 	 AE017225 	 212
RF00002 	 5_8S_rRNA 	 AE017225 	 213
RF00002 	 5_8S_rRNA 	 AE017225 	 214
RF00002 	 5_8S_rRNA 	 AE017225 	 216
RF00002 	 5_8S_rRNA 	 AE017225 	 217
RF00002 	 5_8S_rRNA 	 AE017225 	 219
RF00002 	 5_8S_rRNA 	 AE017225 	 220
RF00002 	 5_8S_rRNA 	 AE017225 	 221
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 224
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 228
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 229
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 231
RF00002 	 5_8S_rRNA 	 AE017225 	 232
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 234
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 238
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 239
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 240
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 244
RF00005 	 tRNA 	 AE017225 	 250
RF00013 	 6S 	 AE017225 	 275
RF00167 	 Purine 	 AE017225 	 278
RF00005 	 tRNA 	 AE017225 	 313
RF01766 	 cspA 	 AE017225 	 325
RF00162 	 SAM 	 AE017225 	 355
RF00379 	 ydaO-yuaA 	 AE017225 	 380
RF00059 	 TPP 	 AE017225 	 414
RF00169 	 Bacteria_small_SRP 	 AE017225 	 418
RF00050 	 FMN 	 AE017225 	 433
RF00162 	 SAM 	 AE017225 	 468
RF00167 	 Purine 	 AE017225 	 562
RF00005 	 tRNA 	 AE017225 	 565
RF01766 	 cspA 	 AE017225 	 576
RF00379 	 ydaO-yuaA 	 AE017225 	 613
RF01854 	 Bacteria_large_SRP 	 AE017225 	 642
RF00230 	 T-box 	 AE017225 	 668
RF01067 	 ATPC 	 AE017225 	 684
RF01051 	 c-di-GMP-I 	 AE017225 	 702
RF00050 	 FMN 	 AE017225 	 714
RF00230 	 T-box 	 AE017225 	 738
RF00230 	 T-box 	 AE017225 	 747
RF00230 	 T-box 	 AE017225 	 758
RF00059 	 TPP 	 AE017225 	 817
RF00230 	 T-box 	 AE017225 	 865
RF00379 	 ydaO-yuaA 	 AE017225 	 889
RF00174 	 Cobalamin 	 AE017225 	 890
RF01411 	 BsrF 	 AE017225 	 934
RF00168 	 Lysine 	 AE017225 	 943
RF00162 	 SAM 	 AE017225 	 944
RF00230 	 T-box 	 AE017225 	 953
RF00167 	 Purine 	 AE017225 	 958
RF00162 	 SAM 	 AE017225 	 999
RF00230 	 T-box 	 AE017225 	 1024
RF00005 	 tRNA 	 AE017225 	 1059
RF00230 	 T-box 	 AE017225 	 1093
RF00005 	 tRNA 	 AE017225 	 1100
RF00005 	 tRNA 	 AE017225 	 1105
RF01730 	 Termite-leu 	 AE017225 	 1170
RF00168 	 Lysine 	 AE017225 	 1225
RF00230 	 T-box 	 AE017225 	 1232
RF00168 	 Lysine 	 AE017225 	 1243
RF00005 	 tRNA 	 AE017225 	 1301
RF01749 	 pan 	 AE017225 	 1316
RF00234 	 glmS 	 AE017225 	 1332
RF00005 	 tRNA 	 AE017225 	 1347
RF00230 	 T-box 	 AE017225 	 1391
RF00005 	 tRNA 	 AE017225 	 1401
RF00230 	 T-box 	 AE017225 	 1422
RF00230 	 T-box 	 AE017225 	 1442
RF00080 	 yybP-ykoY 	 AE017225 	 1471
RF00005 	 tRNA 	 AE017225 	 1472
RF00230 	 T-box 	 AE017225 	 1480
RF00230 	 T-box 	 AE017225 	 1481
RF00230 	 T-box 	 AE017225 	 1495
RF01766 	 cspA 	 AE017225 	 1502
RF01820 	 RsaE 	 AE017225 	 1515
RF00005 	 tRNA 	 AE017225 	 1540
RF00230 	 T-box 	 AE017225 	 1550
RF01362 	 CRISPR-DR49 	 AE017225 	 1567
RF00005 	 tRNA 	 AE017225 	 1568
RF00230 	 T-box 	 AE017225 	 1611
RF00230 	 T-box 	 AE017225 	 1623
RF00230 	 T-box 	 AE017225 	 1624
RF00230 	 T-box 	 AE017225 	 1625
RF00515 	 PyrR 	 AE017225 	 1654
RF00230 	 T-box 	 AE017225 	 1725
RF00242 	 ctRNA_pT181 	 AE017225 	 1774
RF00005 	 tRNA 	 AE017225 	 1839
RF00162 	 SAM 	 AE017225 	 1866
RF00230 	 T-box 	 AE017225 	 1920
RF00230 	 T-box 	 AE017225 	 1921
RF00515 	 PyrR 	 AE017225 	 1941
RF00005 	 tRNA 	 AE017225 	 1942
RF01410 	 BsrC 	 AE017225 	 1984
RF00005 	 tRNA 	 AE017225 	 2068
RF01766 	 cspA 	 AE017225 	 2087
RF01705 	 Flavo-1 	 AE017225 	 2088
RF00230 	 T-box 	 AE017225 	 2158
RF00515 	 PyrR 	 AE017225 	 2178
RF00162 	 SAM 	 AE017225 	 2202
RF00168 	 Lysine 	 AE017225 	 2230
RF00230 	 T-box 	 AE017225 	 2231
RF00230 	 T-box 	 AE017225 	 2232
RF00005 	 tRNA 	 AE017225 	 2233
RF01725 	 SAM-I-IV-variant 	 AE017225 	 2275
RF00059 	 TPP 	 AE017225 	 2276
RF00230 	 T-box 	 AE017225 	 2277
RF00005 	 tRNA 	 AE017225 	 2278
RF00162 	 SAM 	 AE017225 	 2332
RF00005 	 tRNA 	 AE017225 	 2333
RF00238 	 ctRNA_pND324 	 AE017225 	 2357
RF00230 	 T-box 	 AE017225 	 2382
RF00230 	 T-box 	 AE017225 	 2383
RF00162 	 SAM 	 AE017225 	 2384
RF00005 	 tRNA 	 AE017225 	 2415
RF00005 	 tRNA 	 AE017225 	 2481
RF00230 	 T-box 	 AE017225 	 2512
RF00005 	 tRNA 	 AE017225 	 2513
RF00005 	 tRNA 	 AE017225 	 2514
RF00005 	 tRNA 	 AE017225 	 2543
RF00005 	 tRNA 	 AE017225 	 2573
RF00005 	 tRNA 	 AE017225 	 2574
RF00230 	 T-box 	 AE017225 	 2646
RF00167 	 Purine 	 AE017225 	 2647
RF00059 	 TPP 	 AE017225 	 2648
RF00230 	 T-box 	 AE017225 	 2685
RF00162 	 SAM 	 AE017225 	 2686
RF00001 	 5S_rRNA 	 AE017225 	 2717
RF00380 	 ykoK 	 AE017225 	 2718
RF00005 	 tRNA 	 AE017225 	 2719
RF00005 	 tRNA 	 AE017225 	 2720
RF00230 	 T-box 	 AE017225 	 2757
RF00230 	 T-box 	 AE017225 	 2758
RF00230 	 T-box 	 AE017225 	 2812
RF00512 	 Leu_leader 	 AE017225 	 2813
RF00522 	 PreQ1 	 AE017225 	 2860
RF00059 	 TPP 	 AE017225 	 2861
RF00005 	 tRNA 	 AE017225 	 2862
RF01725 	 SAM-I-IV-variant 	 AE017225 	 2913
RF00162 	 SAM 	 AE017225 	 2914
RF00005 	 tRNA 	 AE017225 	 2915
RF00005 	 tRNA 	 AE017225 	 2916
RF00005 	 tRNA 	 AE017225 	 2917
RF00005 	 tRNA 	 AE017225 	 2986
RF00005 	 tRNA 	 AE017225 	 2987
RF00504 	 Glycine 	 AE017225 	 3046
RF00059 	 TPP 	 AE017225 	 3047
RF00005 	 tRNA 	 AE017225 	 3048
RF00230 	 T-box 	 AE017225 	 3049
RF00230 	 T-box 	 AE017225 	 3109
RF00005 	 tRNA 	 AE017225 	 3170
RF00005 	 tRNA 	 AE017225 	 3171
RF00230 	 T-box 	 AE017225 	 3172
RF00516 	 ylbH 	 AE017225 	 3246
RF00167 	 Purine 	 AE017225 	 3322
RF00005 	 tRNA 	 AE017225 	 3323
RF00005 	 tRNA 	 AE017225 	 3324
RF00005 	 tRNA 	 AE017225 	 3388
RF00005 	 tRNA 	 AE017225 	 3389
RF00005 	 tRNA 	 AE017225 	 3464
RF01764 	 yjdF 	 AE017225 	 3550
RF00230 	 T-box 	 AE017225 	 3629
RF00005 	 tRNA 	 AE017225 	 3630
RF00005 	 tRNA 	 AE017225 	 3631
RF00001 	 5S_rRNA 	 AE017225 	 3632
RF00005 	 tRNA 	 AE017225 	 3719
RF00515 	 PyrR 	 AE017225 	 3720
RF01730 	 Termite-leu 	 AE017225 	 3721
RF00001 	 5S_rRNA 	 AE017225 	 3722
RF00005 	 tRNA 	 AE017225 	 3723
RF00005 	 tRNA 	 AE017225 	 3724
RF00005 	 tRNA 	 AE017225 	 3816
RF00005 	 tRNA 	 AE017225 	 3817
RF00005 	 tRNA 	 AE017225 	 3818
RF00005 	 tRNA 	 AE017225 	 3819
RF00005 	 tRNA 	 AE017225 	 3820
RF00162 	 SAM 	 AE017225 	 3942
RF00162 	 SAM 	 AE017225 	 3943
RF00005 	 tRNA 	 AE017225 	 3944
RF00388 	 Anti-Q_RNA 	 AE017225 	 4052
RF00028 	 Intron_gpI 	 AE017225 	 4053
RF00230 	 T-box 	 AE017225 	 4054
RF00005 	 tRNA 	 AE017225 	 4055
RF00162 	 SAM 	 AE017225 	 4056
RF00230 	 T-box 	 AE017225 	 4215
RF00230 	 T-box 	 AE017225 	 4216
RF00162 	 SAM 	 AE017225 	 4217
RF00238 	 ctRNA_pND324 	 AE017225 	 4218
RF00005 	 tRNA 	 AE017225 	 4362
RF00230 	 T-box 	 AE017225 	 4363
RF00001 	 5S_rRNA 	 AE017225 	 4364
RF00005 	 tRNA 	 AE017225 	 4365
RF00005 	 tRNA 	 AE017225 	 4366
RF00005 	 tRNA 	 AE017225 	 4541
RF01363 	 CRISPR-DR50 	 AE017225 	 4542
RF00001 	 5S_rRNA 	 AE017225 	 4543
RF00001 	 5S_rRNA 	 AE017225 	 4544
RF01730 	 Termite-leu 	 AE017225 	 4545
RF00005 	 tRNA 	 AE017225 	 4546
RF00005 	 tRNA 	 AE017225 	 4547
RF00005 	 tRNA 	 AE017225 	 4548
RF01705 	 Flavo-1 	 AE017225 	 4549
RF00001 	 5S_rRNA 	 AE017225 	 4550
RF00005 	 tRNA 	 AE017225 	 4551
RF00005 	 tRNA 	 AE017225 	 4552
RF00001 	 5S_rRNA 	 AE017225 	 4553
RF00001 	 5S_rRNA 	 AE017225 	 4778
RF00005 	 tRNA 	 AE017225 	 4779
RF00005 	 tRNA 	 AE017225 	 4780
RF00238 	 ctRNA_pND324 	 AE017225 	 4781
RF00005 	 tRNA 	 AE017225 	 4782
RF00379 	 ydaO-yuaA 	 AE017225 	 4783
RF00230 	 T-box 	 AE017225 	 5015
RF00005 	 tRNA 	 AE017225 	 5016
RF00001 	 5S_rRNA 	 AE017225 	 5017
RF00238 	 ctRNA_pND324 	 AE017225 	 5018
RF00238 	 ctRNA_pND324 	 AE017225 	 5019
RF00005 	 tRNA 	 AE017225 	 5020
RF00005 	 tRNA 	 AE017225 	 5021
RF00238 	 ctRNA_pND324 	 AE017225 	 5022
RF00001 	 5S_rRNA 	 AE017225 	 5297
RF00162 	 SAM 	 AE017225 	 5298
RF00005 	 tRNA 	 AE017225 	 5299
RF00005 	 tRNA 	 AE017225 	 5612
