RUF_ID	RNAfold_pvalue	RNALfold_pvalue
AE006641_105154_105249	0.001311905	0.001311905
AE006641_1184670_1184784	0.1126379	0.1126379
AE006641_2033485_2033587	0.001213545	0.001213545
AE006641_2137185_2137263	0.120542	0.120542
AE006641_2191896_2192032	0.6331535	0.6331535
AE006641_2411637_2411800	0.49459	0.4809431
AE006641_2952841_2953031	0.9546962	0.931178
AE006641_509340_509467	0.2458427	0.2458427
AE006641_595498_595590	0.8502585	0.8502585
AE006641_597695_597863	0.4569976	0.4170052
AE006641_749342_749417	0.2469278	0.2469278
AE006641_789531_789657	0.1964275	0.1964275
AE006641_807535_807619	0.6330176	0.6330176
AE009950_1226087_1226249	0.6222901	0.7016134
AE009950_1285094_1285168	0.1157652	0.1157652
AE009950_136703_136901	0.001132029	0.0004868741
AE009950_1793377_1793476	0.5664976	0.5664976
AE009950_234518_234644	0.4686524	0.4686524
AE009950_258918_259053	0.4770083	0.4770083
AE009950_505155_505346	0.7974956	0.7057899
AE009950_505722_505820	0.8419178	0.8419178
AE017199_113561_113655	0.2575274	0.2575274
AE017199_145930_146042	0.4725899	0.4725899
AE017199_164078_164168	0.7942979	0.7942979
AE017199_328870_328986	0.8394588	0.8394588
AE017199_334558_334634	0.7259798	0.7259798
AE017199_339351_339700	0.03266573	0.06389928
AE017199_375319_375397	0.0008335621	0.0008335621
AE017199_382303_382481	0.4264082	0.3921273
AE017199_384207_384270	0.7075037	0.7075037
AE017199_432080_432287	0.5553425	0.4340284
CP000678_1015871_1015955	0.8789803	0.8789803
CP000678_1034892_1034987	0.9665468	0.9665468
CP000678_1050048_1050310	0.149342	0.2184433
CP000678_1059585_1059827	0.8743236	0.8365629
CP000678_1374373_1374490	0.2007044	0.2007044
CP000678_1397468_1397598	0.8080415	0.8080415
CP000678_1454738_1454935	0.7273121	0.7032795
CP000678_1455377_1455470	0.2204228	0.2204228
CP000678_1599690_1599766	0.5328311	0.5328311
CP000678_181903_181984	0.6494277	0.6494277
CP000678_182235_182379	0.4938151	0.4938151
CP000678_185321_185434	0.8168165	0.8168165
CP000678_191068_191237	0.3920751	0.3756272
CP000678_27095_27313	0.6035009	0.7339784
CP000678_329870_330028	0.601137	0.5912397
CP000678_332995_333326	0.361059	0.1065269
CP000678_333398_333480	0.1806926	0.1806926
CP000678_359950_360320	0.07427129	0.04465549
CP000678_459764_459973	0.5141978	0.4822572
CP000678_515790_516060	0.6441916	0.4804137
CP000678_516230_516294	0.9132898	0.9132898
CP000678_516411_516560	0.9369041	0.9369041
CP000678_561274_561508	0.4440552	0.6362346
CP000678_602211_602281	0.8711898	0.8711898
CP000678_603955_604113	0.5813578	0.6600473
CP000678_647403_647476	0.7551449	0.7551449
CP000678_679686_679793	0.2926786	0.2926786
CP000678_713263_713391	0.05980912	0.05980912
CP000678_722575_722914	0.1561018	0.2936881
CP000678_732089_732141	0.04033575	0.04033575
CP000678_744891_745010	0.3088202	0.3088202
CP000678_765524_765869	0.4766833	0.4097345
CP000678_7765_7975	0.7084604	0.6172836
CP000678_785702_785840	0.4634257	0.4634257
CP000678_859185_859257	0.7932184	0.7932184
CP000678_878387_878533	0.8039206	0.8039206
CP000678_924001_924080	0.5227189	0.5227189
CP000816_1000655_1000815	0.02790838	0.02258614
CP000816_1066717_1066898	0.5665992	0.4601629
CP000816_1_142	0.2371998	0.2371998
CP000816_1266696_1266816	0.8271913	0.8271913
CP000816_1296273_1296514	0.6711912	0.4536314
CP000816_405543_405720	0.005492297	0.003154335
CP000816_617415_617531	0.1428182	0.1428182
CP000816_734261_734505	0.506773	0.7541505
CP000816_795075_795246	0.3183429	0.6266984
CP000816_881753_881931	0.2992284	0.230215
