#start	end	length	mean	median	max
1	381	381	358.97	267	1140
820	921	102	170.46	36	747
1378	1531	154	341.34	7	2483
2522	2527	6	12.83	15	16
5470	5689	220	167.97	151	315
7556	7743	188	8.03	5	21
8161	8173	13	7.23	8	8
9677	9684	8	63.88	77	78
10648	10677	30	104.73	102	160
11566	11668	103	21.78	11	67
12599	12613	15	40.47	43	46
14989	15003	15	32.07	33	54
15703	16181	479	24.94	0	206
17717	17804	88	1882.38	2223	3156
17875	17957	83	3618.75	1026.5	8018
18053	18064	12	0.00	0	0
20961	21062	102	140.62	133	313
21177	21376	200	59.82	1	400
22459	22532	74	507.23	179	1564
22800	22877	78	150.24	110	488
23862	23891	30	338.13	350	445
24513	24562	50	2.24	0	18
25460	25972	513	39.51	23	148
28649	28788	140	1977.41	1532	5278
28905	28998	94	28.02	1	111
29629	29901	273	603.58	17	7997
30155	30214	60	447.40	245	1338
30719	30909	191	289.40	215	769
32281	32539	259	586.21	187	2168
33947	33957	11	90.45	102	104
35005	35195	191	35.52	32	157
36603	36661	59	1281.78	823	2525
36821	36983	163	1564.14	408	6671
38805	38942	138	33.99	3	232
41814	41829	16	30.88	38	38
42745	42951	207	15.75	1	64
43192	43193	2	0.00	0	0
43575	43750	176	1.69	0	69
46209	46223	15	358.73	316.5	753
49272	49430	159	358.95	89.5	1479
50265	50395	131	41.74	38.5	101
50606	51010	405	4.24	0	57
51989	52002	14	10.29	11	12
54504	54564	61	3.54	1.5	9
54832	54843	12	8.08	9	9
56189	56190	2	14.00	28	28
56767	56895	129	13.12	10.5	33
57496	57585	90	57.64	21	204
58579	58696	118	0.40	0	1
60818	60861	44	66.07	49	152
62125	62164	40	8.05	9	17
63622	63713	92	12.42	9	29
67228	67375	148	5.28	1	18
68360	68443	84	2.57	0	11
69272	69423	152	1.47	1	4
72144	72456	313	3.00	0	28
73291	73366	76	20.80	7	77
74210	74244	35	1.43	2	2
75277	75568	292	123.17	50	999
76187	76261	75	12.79	3	79
76934	77003	70	4.77	0	19
78363	78373	11	3650.36	4610	4659
79070	79221	152	462.23	411	934
79723	79883	161	90.57	32.5	221
80784	80982	199	837.51	550	2271
81943	82006	64	181.53	101	762
82352	82584	233	1136.48	1211	2924
83503	83574	72	645.92	74	1789
84907	84918	12	5878.33	6538	6929
85447	85540	94	1435.43	351	6212
86393	86602	210	172.13	200	319
87750	87781	32	6.56	6	8
89975	90292	318	881.79	493	2854
90440	90543	104	11.93	4	50
90859	91128	270	116.34	111	225
92287	92291	5	251.80	314.5	325
95833	95973	141	0.00	0	0
97528	97567	40	0.00	0	0
97937	98030	94	9.60	8	17
98937	99167	231	27.84	3	266
100053	100198	146	0.27	0	6
101078	101143	66	1.88	0	6
102245	102301	57	269.00	139	937
102962	103169	208	94.01	30	240
104154	104180	27	20.30	22	23
104829	104874	46	2.09	1	8
107524	107784	261	338.01	27	2327
108934	109049	116	145.34	159	205
110052	110063	12	48.33	55	88
110835	110936	102	34.66	10	141
112308	112568	261	38.90	22	292
114801	115065	265	171.52	60	602
115699	115716	18	286.39	297	359
116074	116127	54	20.26	22	31
117226	117342	117	31.80	20	109
117528	117594	67	368.66	454.5	511
119431	119446	16	28.00	30	36
120227	120625	399	1591.59	123	7997
122162	122233	72	0.00	0	0
122305	122346	42	0.00	0	0
122417	122486	70	0.00	0	0
122582	122593	12	0.00	0	0
125490	125588	99	153.70	166	294
125703	125761	59	143.71	205.5	278
125833	125891	59	695.24	368	1889
125962	126076	115	46.13	24	168
126896	127016	121	209.87	107	554
127353	127379	27	39.41	40	74
128898	129102	205	3.18	0	16
129232	129493	262	259.11	155	1016
131392	131410	19	147.21	163.5	177
132338	132400	63	65.06	54	230
134249	134310	62	33.92	19	65
136683	136837	155	555.43	41.5	2498
138311	138516	206	181.97	84	577
138796	138849	54	0.00	0	0
139129	139243	115	14.71	4	53
141263	141269	7	0.00	0	0
141990	142054	65	0.00	0	0
143051	143183	133	0.47	0	1
144108	144129	22	0.00	0	0
145636	145756	121	68.38	17.5	750
147020	147363	344	1770.76	1232	6375
147691	148023	333	2614.38	1657.5	7683
149281	149523	243	132.10	75.5	376
150625	150670	46	596.30	566	913
151685	151788	104	668.34	566	1213
155195	155215	21	231.86	241.5	254
156747	156754	8	90.00	115	130
157883	157886	4	161.00	215	216
161551	161564	14	58.07	64	70
162303	162510	208	65.72	57	150
163894	163998	105	35.44	21	98
164070	164130	61	1956.05	2009.5	2939
164201	164229	29	4876.28	6705.5	6922
164311	164358	48	858.31	658	1653
