#start	end	length	mean	median	max
1	10886	10886	83.59	60	441
10961	11111	151	28.46	17	61
11185	25643	14459	100.68	56	3316
25727	79094	53368	40.60	22	1872
79205	79207	3	54.67	82	83
79292	80217	926	6.58	2	93
80314	183227	102914	33.61	18	1043
183293	234441	51149	72.73	28	1374
234506	253599	19094	60.87	40	644
253665	279530	25866	28.38	14	525
279596	293603	14008	48.05	27	497
293659	309684	16026	48.06	13	663
309880	386200	76321	36.79	21	832
386272	456197	69926	29.12	13	573
456263	459382	3120	41.49	21	206
459449	501046	41598	20.25	13	338
501155	510215	9061	40.62	26	390
510324	558812	48489	53.53	27	1159
558879	658108	99230	40.08	25	532
658190	663385	5196	20.20	17	176
663451	704186	40736	16.98	9	401
704245	731493	27249	21.73	10	346
731564	731602	39	42.44	44	60
731677	733523	1847	92.96	82	295
733594	736228	2635	125.41	107.5	460
736294	755261	18968	58.50	19	1375
755327	767320	11994	85.76	76	738
767386	786015	18630	96.34	32	1220
786087	786965	879	20.36	18	52
787030	806167	19138	91.60	39	882
806233	815632	9400	78.51	47	866
815698	829702	14005	47.02	14	1658
829767	842298	12532	10.07	6	73
842363	850638	8276	20.27	13	160
850711	918364	67654	29.97	16	588
918430	923799	5370	89.75	9	1943
923873	923998	126	8.50	4	26
924073	924109	37	54.35	56	67
924184	924212	29	15.21	14	50
924287	937333	13047	11.95	7	208
937401	958453	21053	40.67	18	3001
958519	965544	7026	59.74	18	396
965765	1000767	35003	38.69	20	664
1000833	1006614	5782	22.37	18	116
1006680	1025320	18641	18.19	15	108
1025391	1046041	20651	64.26	31	811
1046105	1064048	17944	34.59	17	511
1064114	1113510	49397	23.88	14	306
1113584	1133259	19676	27.09	19	179
1133326	1138075	4750	69.44	55	481
1138145	1177395	39251	18.31	8	690
1177467	1182316	4850	7.95	7	60
1182382	1205234	22853	63.70	20	1386
1205299	1222276	16978	40.33	13	2281
1222342	1224305	1964	160.95	95	636
1224370	1261499	37130	72.21	27	1692
1261648	1296070	34423	48.01	18	1379
1296133	1313328	17196	45.82	31	523
1313394	1345177	31784	43.62	13	854
1345245	1357060	11816	23.45	16	177
1357127	1363433	6307	18.19	14	118
1363500	1371701	8202	42.11	29	214
1371768	1381866	10099	59.35	27	1254
1381933	1446189	64257	28.90	18	1294
1446263	1471848	25586	507.21	151	186151
1473378	1476177	2800	392373.78	372349	930664
1476283	1476899	617	172969.09	137671.5	502113
1477058	1488080	11023	52.87	22	1326
1488146	1497154	9009	30.28	24	295
1497221	1512727	15507	27.16	19	146
1512809	1552601	39793	17.86	7	895
1552650	1568042	15393	79.14	30	1671
1568109	1735508	167400	34.77	19	1785
1735676	1739654	3979	93.66	40	496
1739718	1828011	88294	38.30	20	1467
1828086	1828795	710	295.74	98	1865
1828861	1872565	43705	50.56	24	1315
1872631	1875228	2598	24.14	19	117
1875293	1876356	1064	10.75	11	23
1876426	1914961	38536	19.37	12	249
1915026	1946612	31587	29.63	19	248
1946684	1952290	5607	8.14	6	84
1952365	2047594	95230	33.72	15	979
2047767	2068895	21129	36.88	25	402
2068960	2075528	6569	63.36	42	273
2075595	2075612	18	46.00	47	67
2075842	2139547	63706	67.44	21	4140
2139654	2299795	160142	20.04	9	647
2299871	2305864	5994	35.58	23	259
2305940	2317098	11159	37.42	27	261
2317165	2401986	84822	44.54	22	1085
2402073	2429319	27247	76.95	40	908
2429425	2451174	21750	27.19	21	284
2451240	2466961	15722	121.61	90	743
2467028	2500385	33358	61.15	35	1169
2500812	2510594	9783	20.65	17	570
2510667	2522168	11502	99.84	82	573
2522234	2523177	944	13.73	11	36
2523239	2546431	23193	20.44	8	480
2546497	2554861	8365	34.95	18	353
2554927	2581763	26837	26.69	15	290
2581835	2619406	37572	21.59	11	326
2619477	2700463	80987	45.19	15	2800
2700529	2751592	51064	29.89	18	524
2751658	2765327	13670	71.47	54	385
2765402	2765540	139	35.88	36	46
2765609	2794175	28567	44.71	34	584
2794247	2827853	33607	17.87	9	313
2827927	2835493	7567	15.21	10	81
2835564	2839471	3908	30.51	22	156
2839536	2907746	68211	48.83	23	841
2907814	2931632	23819	54.98	32	574
2931698	2969493	37796	17.54	12	228
2969566	2969752	187	24.24	20	59
2969826	2969854	29	9.79	10	18
2969926	2969941	16	27.75	31	32
2970014	3037373	67360	34.99	18	468
3037438	3049005	11568	23.03	15	158
3049049	3059786	10738	28.67	20	176
3059851	3075370	15520	34.73	23	473
3075439	3082498	7060	19.69	10	184
3082595	3092707	10113	57.09	33	334
3092776	3097653	4878	42.16	14	758
3097717	3104974	7258	39.58	32	199
3105041	3152964	47924	27.96	10	1165
3153032	3173090	20059	24.17	17	471
3173160	3215592	42433	34.61	17	589
3215658	3296682	81025	30.56	18	1115
3296755	3348476	51722	32.66	19	529
3348617	3348658	42	111.38	116	149
3348728	3363209	14482	38.48	32	177
3363273	3369883	6611	40.34	27	319
3369949	3387001	17053	12.69	9	80
3387067	3431839	44773	56.66	24	1394
3431910	3467966	36057	20.30	14	210
3468332	3507996	39665	25.84	13	1553
3508062	3559366	51305	51.87	18	574
3559441	3560110	670	5.25	4	149
3560176	3590627	30452	43.15	24	562
3590692	3628082	37391	39.20	24	478
3628148	3707567	79420	43.20	29	810
3707633	3724549	16917	20.88	12	633
3724615	3725970	1356	17.02	13	60
3726088	3803849	77762	14.87	9	324
3803916	3835201	31286	55.63	17	2416
3835267	3850162	14896	34.53	11	1965
3850297	3909754	59458	77.06	15	3797
3909819	4008650	98832	17.30	9	487
4008715	4021389	12675	13.85	10	106
4021454	4081361	59908	53.88	20	1602
4081435	4088254	6820	35.94	31	159
4088320	4099384	11065	34.01	7	8989
4099458	4117191	17734	416.96	21	63335
4117258	4126540	9283	107.04	65	845
4126615	4168189	41575	37.44	26	377
4168282	4168344	63	6.16	5	62
4168431	4199127	30697	24.19	15	586
4199215	4216864	17650	26.63	17	275
4216935	4216967	33	19.36	21	22
4217054	4222580	5527	41.43	30	212
4222665	4237929	15265	26.77	17	291
4237996	4246521	8526	38.48	34	133
4246587	4322171	75585	65.24	38	1466
4322277	4322325	49	7.76	8	10
4323232	4323498	267	25.34	6	141
4323895	4324014	120	103.82	104	150
4324669	4324682	14	47.29	52	53
4324965	4325073	109	112.07	48	317
4325476	4325494	19	187.53	197.5	205
4325966	4326003	38	36.29	39	42
4327471	4327548	78	0.68	0	6
4328197	4328400	204	28.34	26	44
4329406	4329416	11	17.00	19.5	21
4329612	4330038	427	41.20	32	97
4336079	4336776	698	14.35	9	48
4338519	4338848	330	2.55	1	22
4340025	4340269	245	31.41	29	84
4341476	4341565	90	70.90	71	104
4341875	4341879	5	163.00	203.5	205
4342729	4342769	41	215.24	224	234
4345033	4345038	6	45.83	57	58
4346479	4346480	2	72.00	144	144
4348771	4348773	3	36.00	54	58
4348824	4348826	3	33.00	49.5	50
4350600	4350744	145	96.34	82.5	150
4351042	4351074	33	74.48	77.5	81
4352179	4352273	95	84.73	91	175
4352574	4352608	35	1297.83	1429.5	1506
4352894	4353009	116	90.12	60	281
4356540	4356692	153	21.58	13.5	46
4357533	4357592	60	49.22	48	67
4359780	4360198	419	37.17	32	78
4361923	4362031	109	21.69	20	31
4364755	4364978	224	27.50	15	96
4366836	4366907	72	8.40	9	13
4372704	4372799	96	11.99	11	25
4373628	4373725	98	19.80	18	29
4374011	4374048	38	102.87	123	128
4374370	4374483	114	18.11	9	112
4375681	4375761	81	29.69	26	49
4375993	4376261	269	7.95	8	16
4380450	4380452	3	12.00	18	19
4381938	4381942	5	10.20	13	13
4382849	4383007	159	7.72	7	14
4383638	4383652	15	37.07	40	42
4383983	4384146	164	15.69	13	34
4386306	4386364	59	17.63	18	20
4386812	4387364	553	14.12	9	121
4390430	4390436	7	2.71	3	4
4390707	4390719	13	5.38	6	8
4391029	4391096	68	2.13	2	5
4391604	4391630	27	8.30	8	12
4393071	4393448	378	41.79	38	115
4400149	4400185	37	104.38	106	118
4400852	4400869	18	66.67	73	77
4401632	4401727	96	25.47	10	88
4403080	4403191	112	49.26	48	73
4404410	4404432	23	20.43	21	24
4405165	4405456	292	24.84	26	44
4408200	4408333	134	20.70	21	29
4408895	4408968	74	289.88	275	389
4410787	4411532	746	65.61	63	170
