#start	end	length	mean	median	max
1522	2051	530	22.45	21	72
3258	3279	22	56.36	57	71
4995	5239	245	27.15	15	113
7265	7301	37	257.68	270	287
9816	9913	98	48.72	51	75
10826	10886	61	29.23	31	36
10961	11111	151	28.07	18	64
11185	11574	390	6.79	6	19
11678	11873	196	25.01	20	68
12309	12467	159	34.65	24	250
13014	13132	119	180.03	165.5	279
13556	13713	158	24.70	26	35
13993	14088	96	27.84	19	71
14875	14913	39	15.21	12.5	28
23735	23860	126	57.63	60	85
25442	25643	202	22.00	22	46
25727	25912	186	16.61	15	36
26879	27022	144	4.48	5	9
27440	27594	155	3.03	2	7
29205	29244	40	20.88	21	26
29605	29721	117	8.85	8	15
31066	31188	123	8.28	8	13
31504	31513	10	19.30	21	23
31817	32056	240	11.07	12	21
33152	33223	72	7.19	7	11
33551	33581	31	11.61	13	13
33792	34294	503	4.36	4	10
38945	39055	111	20.37	19	45
39827	39876	50	21.02	22	25
41200	41303	104	2.04	3	4
41910	42003	94	11.20	11	20
42349	42432	84	162.80	146	233
43363	43561	199	50.46	51.5	97
46469	46580	112	95.26	100	219
47205	47365	161	11.83	12	18
48098	48232	135	68.72	70.5	86
49025	49042	18	5.72	5	13
49937	50020	84	107.69	109	134
51122	51184	63	47.52	47	68
51725	51827	103	35.23	33.5	56
52695	52830	136	4.68	4	8
53242	53662	421	47.06	48	81
57971	58191	221	33.07	17	98
58480	58585	106	52.08	57	95
59078	59121	44	137.09	157	175
59374	59408	35	87.74	93	98
59865	59895	31	18.94	19	24
63018	63199	182	14.05	14	22
63890	63908	19	15.89	17	22
64965	65011	47	41.79	43	56
65348	65551	204	288.67	113	1479
66692	66922	231	30.39	33	57
68360	68619	260	54.66	35	203
71557	71588	32	12.16	10	20
72220	72273	54	22.02	23	29
74509	74628	120	21.99	13	49
75196	75300	105	1.07	1	3
76210	76236	27	8.44	7	14
78894	79094	201	78.40	74.5	162
79205	79207	3	67.67	101.5	103
79292	79485	194	5.21	2	41
80191	80217	27	81.41	84.5	88
80548	80623	76	112.63	120	168
81671	81675	5	31.60	39.5	40
82666	82747	82	56.32	62	73
83981	83995	15	36.40	41.5	47
85166	85182	17	18.12	19.5	21
85570	85635	66	3.30	3	7
86464	86527	64	1.77	2	4
87131	87207	77	7.56	7	12
88002	88203	202	0.82	0	3
89478	89574	97	5.29	4	9
89917	89923	7	11.57	13.5	14
92320	92327	8	44.25	51	52
93276	93288	13	11.00	11	16
93949	93950	2	3.00	6	6
96890	96926	37	8.19	8.5	11
97599	97739	141	23.35	16.5	42
98349	98479	131	10.85	10	32
99248	99683	436	4.42	3	24
100449	100582	134	16.25	10	33
103661	103709	49	1.51	1	6
105213	105323	111	4.34	3	13
106713	106733	21	78.10	82	95
108149	108155	7	33.71	39	41
109776	109782	7	8.29	9.5	11
117537	117713	177	11.04	11	17
119697	119914	218	46.22	46	73
122171	122316	146	3.23	1	12
123829	123979	151	4.17	4	11
124262	124373	112	0.30	0	1
125568	125642	75	8.20	8	25
130539	130894	356	225.37	121	945
131102	131381	280	7.81	0	261
