#RUF_ID	Strand	EMBLAccession	ExpressionRank
RUF_131439_131497 	 + 	 AE017225 	 5
RUF_3622719_3622821 	 + 	 AE017225 	 12
RUF_115934_116050 	 + 	 AE017225 	 14
RUF_106996_107065 	 + 	 AE017225 	 19
RUF_123734_123796 	 + 	 AE017225 	 20
RUF_132892_132962 	 + 	 AE017225 	 29
RUF_84130_84195 	 + 	 AE017225 	 35
RUF_3300338_3300556 	 + 	 AE017225 	 91
RUF_120763_120963 	 + 	 AE017225 	 103
RUF_4733484_4733534 	 + 	 AE017225 	 114
RUF_138995_139149 	 + 	 AE017225 	 115
RUF_3604842_3604933 	 + 	 AE017225 	 131
RUF_3826286_3826612 	 + 	 AE017225 	 134
RUF_1224435_1224572 	 + 	 AE017225 	 143
RUF_4402019_4402166 	 + 	 AE017225 	 156
RUF_119257_119376 	 + 	 AE017225 	 163
RUF_1155029_1155158 	 + 	 AE017225 	 164
RUF_4001722_4001811 	 + 	 AE017225 	 165
RUF_4631928_4631999 	 + 	 AE017225 	 171
RUF_116971_117180 	 + 	 AE017225 	 174
RUF_5040548_5040669 	 + 	 AE017225 	 176
RUF_1273285_1273436 	 + 	 AE017225 	 183
RUF_4329164_4329244 	 + 	 AE017225 	 196
RUF_105393_105572 	 + 	 AE017225 	 199
RUF_3826012_3826102 	 + 	 AE017225 	 208
RUF_134129_134311 	 + 	 AE017225 	 215
RUF_5063028_5063147 	 + 	 AE017225 	 292
RUF_4403280_4403702 	 + 	 AE017225 	 306
RUF_359347_359403 	 + 	 AE017225 	 401
RUF_107423_107499 	 + 	 AE017225 	 443
RUF_4967742_4968262 	 + 	 AE017225 	 479
RUF_5044775_5044833 	 + 	 AE017225 	 489
RUF_3825891_3826090 	 + 	 AE017225 	 495
RUF_3659216_3659318 	 + 	 AE017225 	 583
RUF_5074649_5074761 	 + 	 AE017225 	 609
RUF_1014336_1014551 	 + 	 AE017225 	 800
RUF_3872119_3872446 	 + 	 AE017225 	 1020
RUF_3666894_3666965 	 + 	 AE017225 	 1077
RUF_5076873_5076981 	 + 	 AE017225 	 1254
RUF_1016890_1017025 	 + 	 AE017225 	 1811
RUF_2727456_2727511 	 + 	 AE017225 	 1916
RUF_4379674_4379745 	 + 	 AE017225 	 2034
RUF_267882_267944 	 + 	 CP001503 	 19
RUF_258920_259226 	 + 	 CP001503 	 22
RUF_2922073_2922379 	 + 	 CP001503 	 23
RUF_471121_471427 	 + 	 CP001503 	 25
RUF_267086_267386 	 + 	 CP001503 	 31
RUF_76481_76551 	 + 	 CP001503 	 51
RUF_264700_264759 	 + 	 CP001503 	 54
RUF_1614686_1614814 	 + 	 CP001503 	 63
RUF_77428_77502 	 + 	 CP001503 	 73
RUF_983874_984012 	 + 	 CP001503 	 77
RUF_403305_403384 	 + 	 CP001503 	 82
RUF_91306_91393 	 + 	 CP001503 	 94
RUF_265812_265957 	 + 	 CP001503 	 109
RUF_2338285_2338475 	 + 	 CP001503 	 110
RUF_2769368_2769979 	 + 	 CP001503 	 112
RUF_73750_73884 	 + 	 CP001503 	 113
RUF_290061_290364 	 + 	 CP001503 	 122
RUF_280574_280749 	 + 	 CP001503 	 123
RUF_1352979_1353191 	 + 	 CP001503 	 128
RUF_1615028_1615088 	 + 	 CP001503 	 130
RUF_3550759_3550912 	 + 	 CP001503 	 138
RUF_297797_297921 	 + 	 CP001503 	 148
RUF_3561349_3561540 	 + 	 CP001503 	 155
RUF_297026_297175 	 + 	 CP001503 	 158
RUF_285131_285307 	 + 	 CP001503 	 160
RUF_285158_285313 	 + 	 CP001503 	 164
RUF_263446_263511 	 + 	 CP001503 	 166
RUF_281218_281339 	 + 	 CP001503 	 169
RUF_284674_284821 	 + 	 CP001503 	 175
RUF_468731_469332 	 + 	 CP001503 	 188
RUF_78895_79040 	 + 	 CP001503 	 191
RUF_256572_257131 	 + 	 CP001503 	 194
RUF_209110_209212 	 + 	 CP001503 	 204
RUF_2924168_2924819 	 + 	 CP001503 	 259
RUF_3280454_3280715 	 + 	 CP001503 	 299
RUF_1051788_1051941 	 + 	 CP001503 	 559
RUF_2904716_2905066 	 + 	 CP001503 	 1599
RUF_3787610_3788183 	 + 	 CP001503 	 2506
RUF_948458_948694 	 + 	 CP001503 	 2661
RUF_3280914_3281100 	 + 	 CP001503 	 2754
RUF_279914_280195 	 + 	 CP001503 	 2937
RUF_470096_470402 	 + 	 CP001504 	 9
RUF_372363_372669 	 + 	 CP001504 	 10
RUF_2083434_2083489 	 + 	 CP001504 	 22
RUF_2340969_2341054 	 + 	 CP001504 	 31
RUF_772335_772444 	 + 	 CP001504 	 40
RUF_1238884_1239011 	 + 	 CP001504 	 55
RUF_1005984_1006039 	 + 	 CP001504 	 56
RUF_467732_468307 	 + 	 CP001504 	 58
RUF_369898_370574 	 + 	 CP001504 	 65
RUF_1895830_1895884 	 + 	 CP001504 	 97
RUF_2629408_2629496 	 + 	 CP001504 	 107
RUF_774577_774697 	 + 	 CP001504 	 115
RUF_998080_998152 	 + 	 CP001504 	 117
RUF_1753843_1753963 	 + 	 CP001504 	 126
RUF_2017023_2017068 	 + 	 CP001504 	 131
RUF_2339874_2340041 	 + 	 CP001504 	 135
RUF_2406215_2406316 	 + 	 CP001504 	 138
RUF_996580_996630 	 + 	 CP001504 	 139
RUF_148426_148625 	 + 	 CP001504 	 149
RUF_1603093_1603195 	 + 	 CP001504 	 150
RUF_2009976_2010101 	 + 	 CP001504 	 155
RUF_318917_319053 	 + 	 CP001504 	 162
RUF_2298701_2298841 	 + 	 CP001504 	 194
RUF_2664324_2664499 	 + 	 CP001504 	 197
RUF_916635_918027 	 + 	 CP001504 	 204
RUF_933226_933432 	 + 	 CP001504 	 205
RUF_740002_740456 	 + 	 CP001504 	 219
RUF_2431524_2431739 	 + 	 CP001504 	 237
RUF_2695974_2696077 	 + 	 CP001504 	 252
RUF_2094092_2094161 	 + 	 CP001504 	 257
RUF_372106_372172 	 + 	 CP001504 	 261
RUF_1441391_1441498 	 + 	 CP001504 	 274
RUF_469839_469905 	 + 	 CP001504 	 279
RUF_2322479_2322782 	 + 	 CP001504 	 381
RUF_1043543_1043775 	 + 	 CP001504 	 558
RUF_2685115_2685263 	 + 	 CP001504 	 819
RUF_2430056_2430233 	 + 	 CP001504 	 1223
RUF_1005276_1005392 	 + 	 AE001363 	 3
RUF_668156_668405 	 + 	 AE001363 	 8
RUF_1002113_1002414 	 + 	 AE001363 	 11
RUF_642859_643027 	 + 	 AE001363 	 12
RUF_710138_710483 	 + 	 AE001363 	 16
RUF_461496_461553 	 + 	 AE001363 	 19
RUF_643304_643448 	 + 	 AE001363 	 20
RUF_841901_841974 	 + 	 AE001363 	 21
RUF_4407566_4407728 	 + 	 FN543502 	 29
RUF_1412453_1412596 	 + 	 AM180355 	 10
RUF_98124_98243 	 + 	 AM180355 	 20
RUF_98112_98237 	 + 	 AM180355 	 21
RUF_87368_87586 	 + 	 AM180355 	 26
RUF_4139382_4139418 	 + 	 AM180355 	 27
RUF_17750_17804 	 + 	 AM180355 	 50
RUF_466354_467032 	 + 	 AM180355 	 56
RUF_1766679_1766903 	 + 	 AM180355 	 71
RUF_83666_83740 	 + 	 AM180355 	 73
RUF_831958_832015 	 + 	 AM180355 	 74
RUF_981076_981246 	 + 	 AM180355 	 77
RUF_4064159_4064229 	 + 	 AM180355 	 95
RUF_88085_88143 	 + 	 AM180355 	 104
RUF_88088_88162 	 + 	 AM180355 	 106
RUF_85100_85181 	 + 	 AM180355 	 122
RUF_180259_180592 	 + 	 AM180355 	 135
RUF_102373_102483 	 + 	 AM180355 	 138
RUF_2821825_2821989 	 + 	 AM180355 	 147
RUF_98705_98770 	 + 	 AM180355 	 150
RUF_1333792_1333893 	 + 	 AM180355 	 153
RUF_75063_75108 	 + 	 AM180355 	 158
RUF_102790_102883 	 + 	 AM180355 	 161
RUF_86611_86667 	 + 	 AM180355 	 166
RUF_4274315_4274371 	 + 	 AM180355 	 168
RUF_102814_102906 	 + 	 AM180355 	 178
RUF_97487_97687 	 + 	 AM180355 	 220
RUF_897402_897553 	 + 	 AM180355 	 222
RUF_619001_619228 	 + 	 AM180355 	 225
RUF_1335188_1335298 	 + 	 AM180355 	 251
RUF_1251683_1251771 	 + 	 AM180355 	 275
RUF_1361158_1361232 	 + 	 AM180355 	 279
RUF_72924_73283 	 + 	 AM180355 	 281
