#start	end	length	mean	median	max
1465	1687	223	1752.87	243.5	7996
1762	1811	50	164.04	187	226
1885	2131	247	1083.33	1225.5	1872
5012	5113	102	352.97	135	4794
5226	5273	48	24.56	23	43
5348	5735	388	10.66	10	20
6822	6827	6	2.50	3	3
7107	7171	65	4.88	6	7
8006	8442	437	2.00	1	8
8749	8755	7	6.14	7	8
9008	9092	85	3.32	2	25
9414	9736	323	0.26	0	1
11306	11307	2	0.50	1	1
13128	13769	642	1.38	1	3
13998	14323	326	4.29	4	11
14813	14993	181	6.93	7	14
15081	15251	171	3.62	4	10
16146	16435	290	342.94	307	1499
16829	16837	9	446.67	495.5	531
17105	17200	96	107.49	34	980
17807	17903	97	13.42	15	20
18930	18931	2	13.50	27	27
20042	20094	53	14.19	16	18
21355	21360	6	14.17	17	17
21955	21990	36	5.03	5	8
22168	22337	170	10.41	6	88
23121	23203	83	4.59	5	9
23942	23964	23	6.30	7	7
24583	24698	116	2.95	1	28
25428	25512	85	6.00	6	9
25825	25911	87	4.46	1	58
28563	29436	874	8.13	5	24
30220	30278	59	10.05	3	46
30702	30710	9	15.11	17.5	20
31068	31224	157	34.65	1	136
33168	33314	147	1.41	2	3
33594	33673	80	7146.06	7962	7996
35138	35360	223	1750.44	214.5	7996
35435	35484	50	144.50	167	203
35558	35804	247	1050.09	1190.5	1826
38684	38785	102	356.29	118	4595
38898	38945	48	30.56	30	62
39020	39396	377	4.12	2	30
39691	39957	267	29.50	27	66
40564	40723	160	2.14	2	5
41165	41396	232	2.70	2	5
42063	42203	141	7.48	7	12
42783	43362	580	2.37	2	9
45328	46295	968	0.56	0	2
47046	47047	2	0.00	0	0
47966	48025	60	1.47	1	3
48887	48925	39	0.77	0	2
49442	49517	76	1.04	1	2
50688	50713	26	0.35	0	1
52764	53249	486	3.09	1	29
53949	53952	4	4.50	6	6
54856	55009	154	0.49	0	3
56416	57003	588	1.28	1	3
58372	58501	130	2.38	2	10
59909	60314	406	3.79	1	26
61536	61909	374	2.23	2	6
62609	62784	176	3.16	1	11
63727	63730	4	0.00	0	0
66588	66627	40	0.90	1	4
68185	68308	124	0.66	1	2
69584	69624	41	0.73	0	2
71626	71771	146	0.78	1	2
72528	72550	23	0.96	1	2
73352	73362	11	3.64	4	4
74212	74226	15	2.07	2	3
75382	75443	62	2.21	2	3
76539	76616	78	0.45	0	1
77388	77445	58	0.98	1	2
77590	77672	83	1.30	1	2
80675	80694	20	18.00	19	22
81391	81662	272	8.74	2	39
85981	86113	133	13.17	10	54
87344	87402	59	5.66	4	12
88417	88597	181	3.27	3	6
90575	90872	298	1.74	2	4
91749	91911	163	3.17	2	13
92839	93177	339	0.44	0	1
93793	93909	117	3.32	3	7
94192	94474	283	2.96	1	26
94943	94963	21	2.86	3	3
96896	97407	512	1.23	1	3
99401	99470	70	4.07	4	7
100470	101472	1003	3.10	2	11
102004	102032	29	2.97	3	4
103034	103037	4	1.50	2	2
104376	104526	151	1.75	1	9
105307	105578	272	1.81	1	9
106710	106850	141	1.49	1	6
108860	109060	201	16.87	14	39
109616	110018	403	10.03	2	92
112291	112531	241	6.56	6	36
113819	114198	380	0.63	0	22
114748	115148	401	7.91	6	30
116985	117225	241	9.98	1	129
118471	118472	2	2.50	5	5
119403	119536	134	2.25	3	5
121061	121169	109	3.72	4	7
121452	121537	86	1.77	1	28
122474	122531	58	7.53	6	14
124185	124696	512	26.65	4	146
126398	126969	572	3.04	1	33
127315	127417	103	16.29	16	22
129101	129116	16	14.62	15	19
129801	130098	298	0.78	1	3
131746	131758	13	0.00	0	0
134091	134378	288	1.51	1	7
134769	135193	425	1.32	1	9
135521	135586	66	24.97	22	34
136181	136413	233	3.12	1	16
136990	137016	27	10.59	11	12
137728	137757	30	4.07	4	5
139046	139113	68	1.13	1	2
142676	143049	374	1.08	1	4
143560	143699	140	0.74	1	1
146016	146486	471	0.60	0	3
146676	147244	569	8.56	4	34
147881	147886	6	0.00	0	0
149069	149099	31	1.68	2	3
151284	151438	155	15.01	7	47
152261	152397	137	7.33	7	14
152668	153122	455	0.98	0	12
154809	154963	155	0.97	1	3
155426	155514	89	2.51	3	5
156169	156202	34	2.24	3	3
156899	156911	13	1.69	2	2
157386	157516	131	7.83	7	19
158825	159305	481	2.87	0	167
160383	160468	86	0.73	1	1
160721	160780	60	0.83	1	3
161945	162127	183	0.10	0	3
162199	162725	527	2.57	2	10
163407	163481	75	1.61	2	2
164889	164918	30	0.17	0	1
165492	165960	469	1.59	1	7
166408	166492	85	3.02	3	5
166796	166916	121	0.72	1	2
167889	167901	13	0.00	0	0
168721	168999	279	0.70	0	3
169894	169949	56	0.00	0	0
170280	170317	38	4.26	4	6
171796	172100	305	1.32	1	3
173007	173636	630	0.40	0	2
176683	176684	2	0.50	1	1
179482	179502	21	1.71	2	2
179764	179773	10	0.90	1	1
182947	183380	434	3.38	3	11
185742	186369	628	1.72	1	22
187972	188633	662	0.88	0	7
189471	189815	345	0.76	1	3
190218	190359	142	0.83	1	2
190939	191590	652	3.59	1	16
193624	193690	67	3.00	1	17
194030	194041	12	1.25	1	2
198401	198404	4	0.00	0	0
199079	199084	6	1.33	2	2
199811	200090	280	2.12	1	8
201081	201082	2	2.50	5	5
202088	202238	151	3.34	3	6
205620	205803	184	3.27	3	9
206698	206712	15	4.67	5	5
207472	207596	125	2.53	2	6
208719	208722	4	3.75	5	5
211426	211432	7	41.43	49	51
212426	212646	221	25.65	1	238
215260	216392	1133	1.53	1	27
216978	216987	10	3.70	4	5
219121	219126	6	2.50	3	3
219583	219670	88	1.81	1	6
220409	220410	2	5.50	11	11
222066	222067	2	5.50	11	11
223097	223320	224	4.86	1	19
224017	224024	8	4.38	5	5
224634	224636	3	2.67	4	4
225501	225502	2	3.50	7	7
226334	226358	25	19.84	20.5	38
227856	228090	235	30.12	1	142
228514	228689	176	7.45	7	14
229476	229488	13	46.23	49.5	53
230716	230737	22	60.09	63	69
231245	231396	152	20.66	1	321
231835	231967	133	7.73	6	24
232778	232783	6	1.67	2	2
235851	235852	2	29.50	59	59
237011	237173	163	42.32	3	619
238497	238727	231	88.26	84	244
239403	239465	63	395.37	399.5	572
239677	240017	341	2.35	0	23
240366	240455	90	13.42	10	35
242049	242303	255	1.18	1	14
243876	243882	7	0.00	0	0
244078	244130	53	1.04	1	2
244416	244447	32	11.66	12	16
245675	246231	557	0.19	0	2
246811	246832	22	1.50	2	2
250688	250705	18	2.78	3	3
251692	251743	52	0.60	0	2
252764	252906	143	0.80	1	4
254149	254300	152	2.24	2	5
255318	255488	171	1.33	0	8
256398	256634	237	2.94	1	24
257664	257829	166	1.31	1	2
261545	261810	266	1.17	1	24
262579	262582	4	6.50	9	9
263198	263201	4	4.50	6	6
266262	266265	4	6.00	8	8
267661	268029	369	3.50	0	78
269155	269475	321	0.34	0	2
272854	272855	2	2.00	4	4
274110	274234	125	10.30	1	55
274412	274458	47	50.15	55	73
275149	275305	157	10.95	8	26
275495	275581	87	5.91	5	10
277679	278309	631	10.89	2	108
280947	281060	114	5.66	3	14
283152	283254	103	1.04	1	6
284878	285188	311	0.92	1	5
285879	285990	112	3.77	3	10
287011	287068	58	4.29	2	11
