RUF_ID	Z_Score(+)	Z_Score(-)
AE006641_105154_105249	-2.6	-4.2
AE006641_1184670_1184784	1.3	-0.3
AE006641_2033485_2033587	1.7	0.5
AE006641_2137185_2137263	-1.1	-0.9
AE006641_2191896_2192032	1.0	-1.3
AE006641_2411637_2411800	-1.5	-0.2
AE006641_2952841_2953031	-0.6	0.3
AE006641_509340_509467	1.4	0.5
AE006641_595498_595590	-3.8	-4.3
AE006641_597695_597863	-0.7	-0.2
AE006641_749342_749417	-0.2	-0.5
AE006641_789531_789657	0.0	-0.7
AE006641_807535_807619	0.9	2.0
AE009950_1226087_1226249	-3.4	-3.7
AE009950_1285094_1285168	-0.2	0.3
AE009950_136703_136901	-2.9	-3.3
AE009950_1793377_1793476	0	-0.6
AE009950_234518_234644	-1.7	-0.6
AE009950_258918_259053	1.7	0.3
AE009950_505155_505346	-1.7	-1.6
AE009950_505722_505820	-0.7	-0.9
AE017199_113561_113655	0.9	1.6
AE017199_145930_146042	0.8	1.1
AE017199_164078_164168	0	1.3
AE017199_328870_328986	0.3	-0.1
AE017199_334558_334634	-1.4	0.5
AE017199_339351_339700	-4.1	-2.7
AE017199_375319_375397	0	-0.0
AE017199_382303_382481	-1.2	-2.4
AE017199_384207_384270	0.7	0.4
AE017199_432080_432287	-4.8	-5.4
CP000678_1015871_1015955	0	1.4
CP000678_1034892_1034987	0	-0.7
CP000678_1050048_1050310	-2.2	-2.9
CP000678_1059585_1059827	-2.5	-1.0
CP000678_1374373_1374490	-0.3	-0.2
CP000678_1397468_1397598	-0.5	-0.5
CP000678_1454738_1454935	-2.2	-1.3
CP000678_1455377_1455470	-0.1	0.4
CP000678_1599690_1599766	-0.1	-0.4
CP000678_181903_181984	0.3	0.4
CP000678_182235_182379	1.6	-1.4
CP000678_185321_185434	-1.4	-0.9
CP000678_191068_191237	-1.5	-0.3
CP000678_27095_27313	-2.1	-2.6
CP000678_329870_330028	-1.2	-1.5
CP000678_332995_333326	-2.7	-3.5
CP000678_333398_333480	-0.2	-0.9
CP000678_359950_360320	-1.0	-0.7
CP000678_459764_459973	-1.8	-2.1
CP000678_515790_516060	-1.0	-1.0
CP000678_516230_516294	-2.0	-2.9
CP000678_516411_516560	-1.1	0.2
CP000678_561274_561508	-3.1	-2.6
CP000678_602211_602281	0.7	0.7
CP000678_603955_604113	-2.2	-3.7
CP000678_647403_647476	-0.7	-0.5
CP000678_679686_679793	1.2	1.1
CP000678_713263_713391	-3.9	-2.3
CP000678_722575_722914	-2.6	-3.4
CP000678_732089_732141	-1.3	0.4
CP000678_744891_745010	-2.1	-0.5
CP000678_765524_765869	-4.0	-3.4
CP000678_7765_7975	-1.1	0.0
CP000678_785702_785840	-0.4	-0.3
CP000678_859185_859257	-5.8	-1.8
CP000678_878387_878533	-2.3	-3.9
CP000678_924001_924080	0.3	0.5
CP000816_1000655_1000815	-4.1	-3.9
CP000816_1066717_1066898	-2.7	-0.7
CP000816_1_142	-1.0	0.1
CP000816_1266696_1266816	-1.1	-1.2
CP000816_1296273_1296514	0.6	0.7
CP000816_405543_405720	-2.5	-3.6
CP000816_617415_617531	-2.0	-1.5
CP000816_734261_734505	-3.4	-2.5
CP000816_795075_795246	-1.7	-1.9
CP000816_881753_881931	-2.1	-1.6
AE000511_1006530_1006664	-2.2	-0.9
AE000511_1008391_1008462	-0.7	0.6
AE000511_1034648_1034747	0.7	0.4
AE000511_1199651_1199763	0.8	-0.7
AE000511_1209411_1209645	-2.4	-3.6
AE000511_1227439_1227530	-0.4	-0.8
AE000511_1278192_1278309	-0.7	-1.9
AE000511_1282387_1282578	0.3	0.0
AE000511_1351583_1351730	-1.2	-1.9
AE000511_1365213_1365400	1.0	0.5
AE000511_1394945_1395155	-1.8	-1.1
AE000511_1398771_1399035	-1.4	-0.7
AE000511_1398841_1399030	-0.8	0.0
AE000511_1427602_1427687	-1.4	-0.1
AE000511_1470879_1471014	-2.1	-1.4
AE000511_1482857_1482974	1.4	1.2
AE000511_1508255_1508464	0.8	0.8
AE000511_1540580_1540696	-0.6	0.6
AE000511_1564415_1564520	0	-1.6
AE000511_1580192_1580321	1.1	1.4
AE000511_1584291_1584446	-1.7	-1.7
AE000511_1640326_1640455	0	-0.1
AE000511_1644981_1645223	-2.6	-2.8
AE000511_1653767_1653856	-0.8	-1.1
AE000511_240146_240245	0.3	1.0
AE000511_240254_240587	-0.8	-2.2
AE000511_241083_241192	-0.8	-0.2
AE000511_255394_255584	-1.5	1.0
AE000511_439166_439283	1.5	1.8
AE000511_444943_445231	-2.0	-0.9
AE000511_448247_448391	-2.0	-1.9
AE000511_568287_568557	-1.1	-3.4
AE000511_595499_595601	0.6	0.7
AE000511_77954_78089	0.6	0.1
AE000511_816171_816360	1.1	-2.0
AE000511_860273_860356	0.9	-0.1
AE000511_920356_920416	0	0.1
AE000511_938188_938414	-1.6	0.3
AE000511_97062_97251	-2.8	-2.1
AE001363_1002113_1002414	-0.6	-0.4
AE001363_1005276_1005392	-1.7	-1.3
AE001363_461496_461553	-2.4	-3.2
AE001363_642859_643027	-3.4	-2.5
AE001363_643304_643448	-1.2	-1.5
AE001363_668156_668405	-3.9	-3.3
AE001363_710138_710483	-1.9	-2.1
AE001363_841901_841974	1.2	0.5
AE004969_1003915_1004233	-0.5	-1.8
AE004969_1044285_1044446	-4.7	-4.4
AE004969_1172519_1172726	-3.5	-4.5
AE004969_1248800_1249110	-3.6	-2.6
AE004969_1389064_1389198	-1.7	-1.9
AE004969_1552230_1552595	-0.6	-0.7
AE004969_1609806_1610150	-1.5	-1.4
AE004969_1629233_1629572	-1.1	-2.0
AE004969_163026_163143	-1.4	-0.7
AE004969_1795979_1796180	1.9	0.6
AE004969_1801757_1801980	-6.1	-5.2
AE004969_1808870_1808959	-0.5	-2.0
AE004969_1824176_1824235	0	0
AE004969_1824733_1824963	-5.0	-4.9
AE004969_1826091_1826193	-0.6	-0.0
AE004969_1828389_1828442	0	0.8
AE004969_1881076_1881197	0.1	0.5
AE004969_1994807_1995171	-2.9	-3.1
AE004969_2072794_2072887	-4.0	-2.9
AE004969_2122650_2122708	1.2	0
AE004969_2138229_2138448	-7.8	-5.9
AE004969_299400_299548	-2.9	-2.5
AE004969_334562_334759	-4.4	-2.9
AE004969_341338_341525	-1.7	-2.6
