#start	end	length	mean	median	max
1	158	158	17.64	0	65
1713	1794	82	49.46	20	105
2896	3046	151	3.29	0	18
5102	5272	171	0.90	0	11
5714	6499	786	6.54	0	89
9134	9364	231	4.29	0	26
10292	10393	102	35.02	31	61
11069	11090	22	4.09	0	10
11544	12106	563	21.36	15	103
12305	12416	112	135.32	132	245
12726	13340	615	132.45	108	452
13623	13984	362	3.02	0	505
14065	14080	16	1454.25	893	6727
14429	14437	9	41.22	44	56
15209	15369	161	13.89	0	52
15895	15999	105	32.33	12.5	119
16654	16736	83	18.00	12	38
17058	17322	265	36.38	17	128
19498	19762	265	1.47	0	20
20084	20118	35	0.00	0	0
21249	21325	77	0.00	0	0
22280	22394	115	0.00	0	0
24408	24505	98	11.04	0	38
26239	26308	70	9.91	11	16
26948	27011	64	16.91	0	43
28855	28995	141	8.90	0	65
29851	29991	141	9.95	0	74
31054	31249	196	9.46	0	90
32165	32251	87	13.61	0	45
34163	34411	249	13.53	10	54
35738	36106	369	7.81	0	29
36458	36523	66	44.21	42	60
37802	39109	1308	7.59	0	104
39671	39690	20	0.00	0	0
40576	40681	106	18.51	24	49
42041	42156	116	21.00	21	31
42855	42973	119	5.19	0	31
44012	44214	203	1.99	0	15
47428	47440	13	53.23	55	71
47972	49538	1567	54.46	0	891
49926	50523	598	20.36	13	137
51655	51926	272	11.78	0	52
52242	52526	285	5.48	0	20
55668	57121	1454	29.03	0	367
58199	58419	221	3.04	0	29
58490	58574	85	11.29	5.5	33
59082	59487	406	325.14	213	1091
59863	59980	118	96.46	54	227
60479	60496	18	78.00	81	95
61190	61830	641	34.66	25	131
63505	63620	116	9.04	0	71
64710	64749	40	21.27	30	40
66858	66921	64	11.19	11	35
68215	70213	1999	107.25	10	1439
71171	71314	144	40.82	36	83
74102	74782	681	11.04	0	51
75578	76564	987	5.76	0	56
77057	77088	32	91.03	94	110
78055	78812	758	0.83	0	19
79470	80405	936	1.55	0	27
81335	81550	216	1.34	0	13
81584	81988	405	20.65	0	189
85421	85550	130	7.09	0	65
85621	85955	335	1.50	0	26
