#start	end	length	mean	median	max
1	407	407	4.52	2	19
1746	1926	181	8.25	5	28
3064	3193	130	3.14	2	18
3404	3418	15	6.07	7	8
4544	4584	41	7.17	7	9
6505	6595	91	4.29	5	8
9065	9308	244	11.94	3	49
10858	10992	135	2.68	1	9
11070	11077	8	4.38	5	5
11154	11247	94	30.73	25	415
14156	14203	48	0.33	0	2
14320	14353	34	0.56	0	2
15296	15468	173	8.80	0	124
16930	17036	107	1.64	0	11
18351	18514	164	35.01	0	174
19400	19420	21	24.43	25	30
20009	20065	57	6.40	6	8
20285	20338	54	18.46	24	25
21611	21769	159	1.32	1	2
21863	21869	7	33.43	39	39
22419	22456	38	0.29	0	2
23123	23127	5	1.60	2	2
23761	23888	128	0.59	1	1
24426	24535	110	0.84	1	2
25034	25115	82	2.02	0	8
25378	25512	135	4.46	2	34
27199	27223	25	22.56	26	26
27551	27567	17	3.29	3	7
28162	28178	17	7.18	8	9
28398	28614	217	0.15	0	4
28882	29102	221	11.49	3	47
30652	30786	135	2.70	1	9
30864	30871	8	1.75	2	2
30948	31041	94	28.23	22	367
33950	33997	48	0.71	0	3
34114	34303	190	0.12	0	3
34481	34554	74	2.55	0	15
35974	35977	4	2.25	3	3
36602	36639	38	10.39	12	18
38454	38455	2	5.00	10	10
38819	38941	123	1.54	2	4
40801	40823	23	0.74	1	2
41106	41598	493	13.28	1	163
43579	43746	168	3.68	2	32
44512	44728	217	1.51	1	5
46159	46271	113	0.00	0	0
47133	47373	241	0.22	0	1
47632	47725	94	0.21	0	1
47903	48092	190	1.82	0	11
48969	49025	57	5.70	5	14
49872	49996	125	4.76	1	52
50369	50469	101	7.41	6	15
50815	51139	325	6.55	2	30
52517	52537	21	4.38	4.5	8
53489	53563	75	3.32	3	5
54122	54194	73	1.89	2	3
54417	54524	108	3.84	3	8
58053	58190	138	5.53	5	12
58725	58957	233	2.12	1	7
60557	60571	15	3.20	3	4
62030	62046	17	8.88	13.5	15
62320	62362	43	2.37	3	5
63693	63782	90	23.77	29	77
64263	64425	163	2.41	0	8
64500	64512	13	0.00	0	0
64585	64888	304	0.38	0	3
67313	67548	236	6.52	0	57
69516	69603	88	27.16	19	71
71503	71729	227	3.16	2	14
72516	72524	9	4.11	5	5
73398	73504	107	9.82	6	34
74426	74648	223	3.77	1	16
76044	76051	8	3.25	5	5
78338	78340	3	4.67	7	7
79368	79417	50	5.90	6	9
80390	80551	162	2.79	2	10
82049	82424	376	7.06	0	47
83974	84196	223	962.15	28.5	5625
87045	87093	49	1.14	2	2
87210	87415	206	6.85	1	68
87875	88050	176	19.62	20	31
88597	88603	7	6.00	7	7
89666	89690	25	35.08	38	45
92124	92222	99	8.23	7	31
93597	93602	6	3.33	4	4
94674	94836	163	4.16	3	10
95944	95962	19	3.79	4	6
96641	96757	117	3.94	2	21
97232	97323	92	7.00	3	29
98779	99213	435	3.27	3	6
101255	101259	5	8.00	10	10
102405	102410	6	2.50	3	3
102921	102990	70	29.56	2	204
103645	103778	134	6.06	3	30
103923	103957	35	11.00	13	13
104135	104268	134	7.44	5	19
104800	104969	170	34.27	14	132
105393	105572	180	38.42	18	133
106263	106314	52	8.13	7	14
106456	106497	42	33.40	38	47
106996	107065	70	64.76	73	119
107423	107499	77	105.16	8	407
108097	108391	295	27.42	16	136
111923	111962	40	29.60	34	42
115572	115654	83	6.16	6	10
115934	116050	117	59.52	82	94
116471	116502	32	66.50	61	95
116971	117180	210	79.00	30	347
119257	119376	120	115.53	37	324
120562	120962	401	41.89	6	163
121269	121305	37	36.30	37	53
121936	121963	28	32.04	34	37
122585	122586	2	21.50	43	43
122875	122905	31	236.97	313	316
123734	123796	63	283.76	376	486
124073	124092	20	270.30	319	413
124432	124437	6	50.83	60	64
125095	125098	4	26.75	35	37
125721	125743	23	110.30	115	194
126005	126050	46	47.89	53	64
126417	126457	41	62.34	70	79
126767	126795	29	58.59	69.5	77
127333	127368	36	471.50	565	578
127552	127583	32	122.84	169	184
127980	128014	35	80.14	96	102
128552	128585	34	102.88	104	155
128946	128969	24	116.50	139	150
129468	129483	16	90.94	104	117
129664	129699	36	87.81	87	105
130138	130139	2	11.00	22	22
131439	131497	59	124.95	185	196
132146	132147	2	27.00	54	54
132892	132962	71	107.03	107.5	175
133179	133216	38	40.45	38	57
133328	133351	24	84.38	84	141
133715	133741	27	113.67	126.5	131
134129	134311	183	45.95	40.5	95
135254	135291	38	232.92	278	307
135652	135697	46	10.28	6	17
138237	138253	17	3.24	3	4
138995	139149	155	73.05	26	288
139585	139608	24	114.04	145	149
139999	140163	165	0.00	0	0
140590	140658	69	0.52	1	1
141370	141516	147	21.88	2	75
142579	142637	59	1.59	1	3
143253	143394	142	5.40	3	30
144004	144110	107	3.06	0	9
144873	145045	173	0.21	0	1
145262	145488	227	12.68	4	54
147038	147200	163	20.60	12	417
150109	150194	86	1.21	2	3
150311	150319	9	0.89	1	1
150395	150398	4	1.50	2	2
150472	150495	24	0.75	1	2
150571	150575	5	2.40	3	3
150652	150668	17	2.82	3	3
150753	150817	65	0.83	1	1
150893	150897	5	1.60	2	2
150974	150978	5	0.80	1	1
151051	151060	10	0.00	0	0
151134	151247	114	0.76	0	5
152392	152603	212	47.25	0	750
153495	153745	251	3.33	3	25
157387	157527	141	1.92	0	50
157860	157874	15	30.13	26	64
159675	160040	366	2.19	2	3
160848	161256	409	1.42	0	14
162509	162514	6	6.00	6	9
163514	163635	122	5.02	6	12
164980	165246	267	5.09	4	24
166654	166995	342	0.61	0	5
168961	169081	121	16.02	4	52
169646	169719	74	0.76	1	2
170224	170466	243	1.00	0	23
171379	171380	2	0.00	0	0
171870	172012	143	0.20	0	2
173311	173893	583	3.36	1	35
