#start	end	length	mean	median	max
1	173	173	5.03	2	81
1329	1332	4	7.75	10	11
2038	2043	6	19.33	23	28
4381	4429	49	46.20	59	77
8326	8415	90	2.62	0	16
9268	9274	7	2.86	3	5
10217	10366	150	9.41	3	138
11102	11104	3	36.67	55	55
11732	11792	61	24.69	6	170
13113	13182	70	24.71	25	46
14524	14584	61	8.30	8	13
15962	16017	56	1.29	1	3
17682	17711	30	4.87	3	12
18204	18282	79	10.77	10	51
19000	19033	34	49.06	54	57
21609	21633	25	14.12	1	61
22522	22531	10	2.20	2	3
23951	24149	199	42.63	1	636
25170	25172	3	42.67	64	65
27241	27286	46	64.54	78	99
27845	27846	2	20.50	41	41
30523	30525	3	11.33	17	17
30928	31100	173	28.03	18	76
31518	31578	61	6.41	5	23
32089	32334	246	19.77	6	582
32530	32542	13	186.23	201.5	233
33695	33757	63	5.40	2	26
34874	34924	51	3.88	3.5	7
36509	36555	47	2.49	2	4
37267	37359	93	1.25	1	3
37966	38073	108	6.72	6	13
38224	38230	7	9.00	11	11
40019	40051	33	2.67	3	4
40574	40594	21	23.71	28	29
42395	42414	20	5.95	5	10
44188	44304	117	38.44	36.5	116
48894	49016	123	2.94	0	137
49473	49481	9	74.89	85	87
50589	50671	83	5.39	4	14
52142	52147	6	10.00	12	12
52760	52866	107	2.30	2	6
54913	55065	153	6.50	1	137
56026	56046	21	1.43	1.5	2
56179	56334	156	6.16	6	17
56616	56662	47	36.40	33.5	65
57785	57788	4	9.75	13	13
58173	58175	3	10.00	15	15
58635	58825	191	15.00	3	175
58961	59050	90	177.20	190	296
59411	59495	85	27.53	14	53
63078	63131	54	5.83	6	10
64146	64159	14	0.93	1	1
65447	65453	7	0.86	1	1
65533	65840	308	6.78	3	34
67188	67207	20	37.25	23	95
67511	67628	118	273.61	25	1630
68800	68802	3	26.67	40	40
69034	69045	12	14.08	14	21
71026	71065	40	1.05	1	2
71351	71400	50	13.60	10	35
71740	71762	23	6.35	7	7
72366	72447	82	6.54	1	32
75648	75649	2	7.00	14	14
76865	76871	7	6.29	7	8
77655	77678	24	20.17	23	25
79119	79218	100	13.19	7	72
79579	79766	188	2.38	2	7
80949	80966	18	2.83	3	3
81135	81170	36	2.11	2	4
82806	82843	38	7.29	8	9
84784	84785	2	6.50	13	13
85251	85258	8	48.62	54	64
85937	85957	21	5.62	3	13
86678	86775	98	18.85	2	51
87958	88019	62	2.45	1	7
89826	89837	12	10.67	12	12
91239	91259	21	49.19	55	59
91962	91964	3	44.33	66.5	67
92271	92389	119	23.15	12	127
92726	92763	38	31.08	34	45
93142	93214	73	75.08	46	244
94835	94991	157	0.70	1	2
95145	95154	10	5.50	7	7
96301	96451	151	8.05	4	72
96713	96819	107	81.73	76.5	192
97129	97199	71	12.52	9	119
97344	97374	31	142.16	150	194
97699	97733	35	40.86	30	78
98658	98734	77	4.17	3	9
99530	99534	5	10.40	13	13
102368	102556	189	1.35	1	4
103322	103323	2	3.50	7	7
105914	106022	109	19.00	9.5	118
107385	107551	167	91.15	47	320
107936	108002	67	1.19	1	4
109155	109168	14	3.07	4	4
110752	110804	53	3.62	2	29
113035	113082	48	63.56	90	95
113293	113300	8	60.12	69	70
114944	114948	5	7.20	8.5	11
116401	116502	102	4.04	1	77
116893	116903	11	21.09	23.5	25
117330	117333	4	2.25	3	3
119680	119825	146	5.95	4	44
120066	120072	7	52.43	61.5	63
120748	120766	19	11.89	13	14
121733	121891	159	2.05	1	11
122159	122162	4	15.25	21	21
122844	122895	52	1.60	2	4
122965	123318	354	5.05	2	26
124258	124572	315	4.96	5	12
124930	125357	428	16.64	1	408
126111	126142	32	68.50	83	93
127737	127739	3	3.33	5	5
130035	130154	120	13.93	9	41
130674	130688	15	10.73	11.5	12
132039	132147	109	34.72	2	336
132892	132894	3	6.67	10	10
134293	134348	56	4.61	4	10
135354	135370	17	53.59	65.5	75
136265	136271	7	3.43	4	4
136890	136896	7	20.57	25	28
137545	137553	9	43.89	49.5	51
139037	139097	61	492.52	446	1030
139515	139517	3	54.67	82	82
140424	140445	22	8.50	10	11
141865	141957	93	13.78	4	99
143867	143953	87	3.49	0	26
144680	144715	36	12.47	14	15
146726	146812	87	10.15	11	21
148451	148683	233	8.76	8	31
149395	149446	52	3.08	1	21
151497	151576	80	45.60	39	132
151853	152079	227	32.48	31	108
152554	152556	3	0.67	1	1
153454	153481	28	2.25	3	3
153800	153803	4	9.00	12	12
154401	154416	16	20.50	22	23
155041	155112	72	3.33	4	13
156229	156306	78	7.91	4	20
157450	157531	82	15.88	3	91
158987	159070	84	3.14	3	5
159419	159421	3	4.00	6	6
160664	160713	50	3.80	1	23
161023	161068	46	10.28	3	74
161693	161710	18	32.28	35	53
162200	162338	139	6.89	3	20
163038	163041	4	25.25	34	34
163768	163826	59	19.63	19	30
164973	164983	11	2.18	3	3
165884	165924	41	15.10	14.5	51
167110	167120	11	12.82	14	16
167571	167586	16	0.00	0	0
170666	170769	104	1.92	1	4
173081	173088	8	112.50	127	136
173341	174546	1206	7.30	5	77
174727	174736	10	4.20	5	5
175277	175301	25	0.96	1	1
175716	175725	10	11.20	13	14
176320	176343	24	4.04	4	5
178176	178177	2	1.50	3	3
179987	180016	30	1.33	1	3
180881	180958	78	5.42	3	24
182339	182407	69	10.90	9.5	18
182858	182879	22	0.95	1	1
185187	185244	58	5.31	5	8
188655	188882	228	5.04	4	23
190089	190092	4	4.50	6	6
190822	190851	30	0.90	0	2
193047	193064	18	0.61	1	1
194232	194248	17	5.94	6	8
194969	195016	48	244.60	298	400
195410	195440	31	431.74	444.5	476
195966	196160	195	432.82	123	1948
196866	196934	69	163.43	169	197
197358	197423	66	320.52	253	577
198033	198109	77	74.13	67.5	109
198347	198412	66	29.55	8	151
201170	201455	286	5.40	2	26
202746	202751	6	30.83	37	38
204417	204418	2	1.00	2	2
204734	204991	258	23.70	7	117
205946	205970	25	17.36	18	19
206250	206255	6	22.83	27	28
207252	207260	9	46.67	51.5	59
208914	209143	230	51.81	0	991
210143	210200	58	4.72	3	10
210591	210606	16	0.88	1	2
213016	213061	46	4.43	2	13
214043	214132	90	0.20	0	3
214313	214781	469	1.63	1	6
215727	215753	27	2.59	3	4
216639	216806	168	777.93	1	3786
217887	218001	115	193.23	1	1865
219094	219106	13	7.38	8	8
219746	219759	14	14.43	15	18
221614	221662	49	32.84	6.5	124
222836	222912	77	16.58	7	69
223705	223721	17	740.71	797	906
223826	223921	96	3.59	2	65
225387	225589	203	26.53	0	157
225770	225808	39	101.46	128	144
226148	226152	5	4.00	5	5
227167	227168	2	3.50	7	7
227664	227986	323	8.94	2	276
228278	228280	3	30.00	45	45
229061	229472	412	5.51	5	18
229552	229638	87	0.99	1	2
230161	230205	45	7.89	8.5	10
233101	233269	169	7.95	8	26
233891	234018	128	12.16	3	140
234646	234649	4	0.00	0	0
236006	236137	132	3.84	1	25
236681	236685	5	4.40	5	7
237322	237325	4	7.50	10	10
237917	237924	8	7.25	9	9
238498	238704	207	2.10	1	25
239437	239493	57	0.60	0	3
240463	240465	3	0.67	1	1
241139	241141	3	2.67	4	4
241751	241940	190	190.80	126	476
242139	242196	58	68.19	4	442
242371	242501	131	181.81	20	2298
242628	242644	17	423.94	496	518
244679	244684	6	14.50	17	18
246709	246724	16	14.12	13	45
249264	249344	81	5.52	4	22
249416	249506	91	3.62	2.5	20
249756	249767	12	44.25	49	49
250047	250056	10	61.10	68	69
251635	251710	76	1.76	2	8
252455	252631	177	526.19	1	3438
254090	254181	92	193.53	6	1239
255376	255472	97	2.37	2	4
256031	256034	4	80.00	108	109
257586	257621	36	18.61	19	29
258667	258842	176	604.24	281	2461
260695	260795	101	6.64	4	24
261912	261947	36	21.83	16	72
262086	262102	17	379.24	406	420
263105	263157	53	13.08	4	99
264424	264441	18	2.83	3	3
264515	264657	143	6.76	3	22
265216	265221	6	1.67	2	2
266068	266078	11	5.45	6	7
267495	267566	72	1.03	1	6
269597	269601	5	8.00	10	10
271123	271158	36	9.75	12	15
271762	271784	23	99.13	102	119
272565	272673	109	17.89	8	226
273265	273320	56	9.46	7	21
276505	276558	54	1.89	2	3
277120	277170	51	35.86	34	76
279331	279338	8	11.50	12	16
280182	280189	8	28.38	33	34
281006	281100	95	5.60	6.5	11
282484	282494	11	3.09	3	4
283023	283024	2	22.00	44	44
283757	283763	7	74.29	88	92
284124	284198	75	18.31	21	26
284625	284636	12	21.00	26	29
285648	285776	129	11.80	12	29
286029	286033	5	5154.00	6445.5	6459
286175	286188	14	4171.00	4506	4908
286306	286317	12	1117.50	1223	1402
286510	286545	36	2007.00	2327	2401
289621	289626	6	3.83	5	5
290872	290881	10	0.00	0	0
293288	293328	41	13.98	15	16
293527	293709	183	10.84	2	142
294924	295041	118	79.46	13	734
295675	295902	228	3.22	2	12
296320	296376	57	1.53	1	6
296450	296546	97	3.04	3	6
297774	297782	9	69.67	69.5	100
299022	299158	137	10.36	7.5	81
300248	300357	110	280.43	212	694
300835	300940	106	108.93	100	1245
301037	301063	27	379.44	366.5	641
302660	302811	152	2.41	1	34
303172	303279	108	40.98	16	442
303430	303444	15	86.67	94	98
304312	304334	23	2.52	2	7
304917	304927	11	31.64	35	36
305090	305095	6	16.00	19	20
305165	305232	68	13.29	13	29
305551	305555	5	4.00	5	5
306369	306488	120	2.63	3	8
307149	307151	3	1.33	2	2
308409	308445	37	25.27	27	37
309733	309805	73	48.10	46.5	67
310460	310504	45	436.91	218.5	1401
310985	310993	9	337.33	379	382
312428	313040	613	1257.08	717.5	5734
318128	318174	47	4.89	3	42
319051	319057	7	415.00	491.5	627
319265	319347	83	7.66	2	82
320107	320181	75	6.68	7	9
321571	321680	110	2.51	1	6
322272	322361	90	1.71	2	2
323247	323344	98	3.72	4	10
323597	323820	224	4.22	3	20
323953	324059	107	525.24	319	1246
324231	324354	124	1354.89	833	2918
324454	324601	148	63.99	1	2048
325540	325697	158	0.70	0	15
325836	325996	161	10.84	4.5	187
326108	326125	18	254.67	260	299
326432	326726	295	30.54	5	223
326922	327020	99	82.77	53	180
327318	327339	22	483.68	511	603
327541	327658	118	96.04	14	1061
329189	329221	33	1.39	1	3
329330	329485	156	1.06	0	4
329984	329990	7	5.57	6.5	7
330204	330340	137	3.34	1	23
330623	330634	12	18.50	21	22
331320	331414	95	3.97	4	16
331559	331770	212	2.92	2	10
332008	332028	21	2.48	3	3
332188	332316	129	2.02	2	4
332764	332810	47	0.98	0	5
333108	333116	9	117.33	133.5	136
333459	333465	7	1.71	2	2
333568	333687	120	48.47	24	134
333925	334131	207	23.52	4	672
334546	334654	109	8.31	7	20
334901	335046	146	10.90	9	21
335212	335405	194	0.88	1	6
335664	335686	23	3.00	3	5
336563	336638	76	3.39	3	6
337470	337712	243	7.60	4	33
338340	338403	64	4.59	4	7
338575	338777	203	6.30	3	21
338871	339038	168	5.54	3	29
339378	339447	70	9.34	9	19
339547	339592	46	11.54	12	14
339779	339886	108	34.45	8	101
340239	340324	86	14.53	12	26
341270	341304	35	15.97	18	18
341476	341599	124	1.88	1	9
342221	342255	35	2.43	3	6
343042	343110	69	4.72	4	10
343267	343483	217	3.32	1	23
343625	344031	407	7.74	4	35
344494	344526	33	0.18	0	1
344902	344968	67	0.09	0	1
345263	345419	157	2.75	1	15
345819	346296	478	8.06	3	47
346423	346660	238	0.48	0	3
346817	346825	9	8.56	10	10
346891	346953	63	1.79	1	7
347134	347295	162	0.31	0	2
347614	347667	54	18.41	12	37
348043	348222	180	2.48	2	11
348625	348967	343	7.38	6	34
349355	349382	28	25.36	27	30
349689	349838	150	56.37	25	181
349956	349961	6	44.50	53	55
350049	350135	87	41.26	41.5	67
350289	350324	36	41.08	43	51
350512	350588	77	4.25	3	13
350730	350802	73	12.18	6	27
350986	351015	30	18.93	21	24
351172	351487	316	18.06	20	43
351658	351855	198	5.82	3	33
352018	352194	177	3.94	2	14
352525	352974	450	0.63	0	3
354658	354690	33	8.64	10	13
355471	355489	19	2.11	2	3
356342	356376	35	12.91	13	17
356818	356904	87	3.70	2	7
357094	357195	102	6.75	4	18
357517	357534	18	6.33	7	9
357901	357903	3	11.33	17	18
358181	358217	37	39.30	21.5	91
358488	358605	118	138.11	130	324
358752	358795	44	0.48	0	1
358940	358941	2	1.00	2	2
359053	359299	247	1.60	2	3
359483	359484	2	6.50	13	13
359608	359689	82	8.24	10	12
359969	360018	50	5.76	3	24
360484	360640	157	0.69	1	1
360869	360885	17	12.06	11	23
361048	361090	43	2.35	3	3
361595	361661	67	11.63	16	21
361851	361950	100	9.09	10	13
362731	363006	276	14.66	8	70
365494	365497	4	3.75	5	5
367614	367827	214	2.03	1	8
367981	368001	21	3.38	3	5
368218	368347	130	23.75	23	41
368417	368429	13	3.23	4	4
368509	368612	104	4.52	3	13
369051	369053	3	8.00	12	12
369660	369682	23	5.52	6	8
370436	370437	2	0.50	1	1
370918	370992	75	1.88	1	39
372367	372368	2	0.50	1	1
373281	373300	20	0.95	1	1
373565	373570	6	5.83	7	7
374207	374366	160	97.95	7	368
374940	374949	10	66.70	73	78
376917	377004	88	10.90	7	21
377782	377784	3	2.67	4	4
378442	378452	11	10.36	12	15
379035	379081	47	8.34	1	59
379724	379756	33	1.55	1	3
381680	381739	60	2.38	3	5
382184	382300	117	10.01	5	27
382610	382775	166	4.12	2	10
382917	382973	57	7.28	9.5	12
383166	383229	64	6.11	7	13
383310	383386	77	0.87	0	2
383452	383669	218	24.76	0	136
385035	385043	9	24.78	29	30
386166	386170	5	162.00	197.5	227
387155	387241	87	3.63	1	47
388709	388714	6	1.67	2	2
389876	389952	77	40.86	32	152
390559	390656	98	749.92	646	1953
390891	390897	7	14.29	17	17
391198	391210	13	0.92	1	1
392744	392827	84	1.27	2	2
394694	394728	35	7.46	7	12
395521	395599	79	54.90	28	148
395848	396029	182	20.95	10	294
396288	396311	24	62.33	56	112
396555	396694	140	6.44	4	25
398120	398178	59	2.37	1	10
399985	400069	85	6.35	5	11
400901	400922	22	8.14	9	10
401592	401764	173	7.18	5	87
401966	402170	205	56.95	47	120
402561	402565	5	3.20	4	4
402800	402933	134	1.81	1	4
404422	404532	111	1.32	1	3
404725	404727	3	2.67	4	4
404863	404924	62	2.05	2	7
406236	406257	22	2.18	2	3
408019	408022	4	7.25	10	10
408968	408979	12	253.67	237	359
409208	409269	62	53.94	29	249
410035	410073	39	1.13	1	2
410773	410783	11	1.73	2	2
411216	411341	126	18.67	5	69
412089	412093	5	3.20	4	4
412778	412794	17	16.82	18	19
414313	414483	171	224.81	218	536
417094	417098	5	6.20	8	8
417681	417705	25	1.76	2	2
418342	418358	17	1.88	2	2
419514	419516	3	2.00	3	3
421647	421760	114	1.25	1	5
422418	422425	8	29.00	33	34
422777	422876	100	2.49	1	46
423477	423491	15	7.67	8	9
425915	426169	255	1.11	0.5	10
428098	428136	39	2.23	2	4
429151	429206	56	6.71	8	11
430029	430038	10	16.70	19	20
430549	430555	7	37.29	47	47
432299	432434	136	49.49	42	108
432612	432614	3	71.33	107	110
433362	433457	96	1.20	0	15
434996	435010	15	6.47	7.5	9
435896	436019	124	7.81	1	51
438104	438163	60	5.27	5	9
439803	439816	14	159.29	126	321
440768	440774	7	75.14	87.5	99
441309	441434	126	37.16	2	561
442477	442562	86	93.94	65	215
442821	442852	32	3.66	3	12
444551	444627	77	16.91	12	46
445180	445199	20	1817.70	2219	2552
445332	445364	33	1072.27	1071.5	1276
445917	445993	77	1549.27	9.5	7692
447062	447069	8	1.75	2	2
447250	447409	160	2.64	2	23
448607	448609	3	1.33	2	2
450044	450063	20	11.55	14	15
450135	450292	158	149.48	58	391
450479	450519	41	95.39	91.5	146
450590	450647	58	91.24	78	138
451128	451144	17	11.24	12	13
451451	451542	92	168.53	96	373
453090	453268	179	9.65	1	58
454376	454403	28	30.25	34	38
454914	454983	70	2.60	2	5
455479	455505	27	12.96	16	17
455707	455826	120	18.59	10	148
456631	456637	7	234.57	270.5	284
457937	458166	230	31.23	18	114
459010	459084	75	36.11	6	126
459379	459426	48	22.88	24	31
460024	460092	69	5.67	6.5	9
461314	461324	11	3.18	3.5	4
464916	464963	48	31.56	23	57
465252	465260	9	16.89	16	33
465744	465855	112	3.97	1	37
467359	467423	65	7.52	6	19
468009	468017	9	26.56	29.5	32
468966	469062	97	31.32	31	56
470251	470581	331	424.39	243	1383
472856	472858	3	0.00	0	0
473963	473967	5	0.80	1	1
474820	474833	14	23.71	25	36
475362	475394	33	34.42	38	46
475575	475579	5	20.20	25	26
476027	476058	32	22.72	22	32
478185	478205	21	2.86	3	5
479514	479597	84	75.36	77	144
480033	480061	29	324.83	372.5	670
481862	482040	179	5.84	2	25
482389	482477	89	42.12	2	242
483626	483657	32	4.88	5	7
485558	485562	5	13.40	17	17
486889	487008	120	1.34	1	8
488365	488452	88	1.57	2	4
488882	488883	2	0.00	0	0
490633	490725	93	4.95	4	41
491725	491752	28	6.14	7	8
493429	493459	31	18.71	18.5	31
494162	494293	132	2.55	2	12
494987	495019	33	0.97	1	1
496187	496254	68	33.12	3	99
497428	497564	137	3.76	3	10
499326	499385	60	5.57	7	8
499737	499745	9	3.56	4	4
500526	500538	13	8.00	6	15
502656	502721	66	16.36	12	52
503517	503630	114	21.84	18	79
504345	504456	112	57.40	52	115
505495	505500	6	22.83	27	29
506506	506509	4	7.50	10	10
507215	507371	157	30.59	4	123
508769	508826	58	1.26	1	4
510051	510060	10	1.80	2	2
510730	510865	136	18.38	2	481
510968	511059	92	261.78	241	393
511405	511464	60	288.93	305	471
