#start	end	length	mean	median	max
187	189	3	4.00	6	6
315	336	22	2.86	2	5
2797	2800	4	0.75	1	1
3728	3733	6	4.17	5	5
5885	5965	81	11.00	11	23
7394	7664	271	11.11	4	100
8616	8728	113	3.33	3	16
9317	9375	59	10.32	3	48
9940	10041	102	1.40	1	2
10083	10091	9	0.00	0	0
10803	10840	38	1.82	2	2
11243	11592	350	134.73	2	1135
13508	13595	88	215.94	160	551
14733	14759	27	52.89	55	56
14797	15019	223	4.78	2	15
15965	16093	129	0.00	0	0
16436	16498	63	0.38	0	1
17030	17048	19	3.16	4	4
17490	17872	383	0.69	1	2
19970	20003	34	0.00	0	0
21153	21197	45	0.82	1	2
23058	23340	283	1.30	1	3
24043	24472	430	1.50	1	5
25013	25115	103	1.23	1	2
25800	25806	7	1.71	2	2
28426	28428	3	0.67	1	1
29434	29436	3	0.67	1	1
29980	29997	18	1.89	2	3
31211	31277	67	1.78	2	2
32121	32161	41	1.00	1	2
32447	32548	102	10.20	2	43
32996	33367	372	0.73	1	3
34361	34510	150	0.97	1	3
34814	35338	525	0.79	1	5
37055	37102	48	1.54	2	2
38672	38772	101	1.06	0	5
39532	40127	596	1.40	1	8
41619	41662	44	0.82	1	1
41710	41719	10	0.00	0	0
42908	43197	290	2.33	0	14
44179	44307	129	1.53	1	3
46021	46042	22	2.86	3	3
46088	46185	98	4.39	4	10
47350	47413	64	23.17	35	38
48311	48367	57	1.18	1	2
50405	50446	42	1.69	1	5
51818	52215	398	7.46	4	45
52258	52276	19	13.16	14	15
52538	52645	108	695.79	464	1418
52859	52868	10	10.80	12	12
53805	53851	47	36.36	35	62
56684	56685	2	35.00	70	70
57184	57340	157	12.95	4	85
57788	57792	5	8.60	11	11
58741	58874	134	17.14	11	44
58921	58942	22	2.91	4	4
60143	60160	18	11.22	12	16
61079	61102	24	7.62	8	12
61787	61790	4	3.00	4	4
63408	63490	83	0.47	0	1
63540	63544	5	1.60	2	2
64844	64858	15	0.93	1	1
66632	66649	18	0.78	1	1
66887	67047	161	0.55	0	2
68386	68632	247	0.80	1	2
69674	69705	32	1.66	2	2
70863	70875	13	4.38	6	6
72394	72395	2	1.50	3	3
73831	73857	27	1.93	2	2
73897	74012	116	4.25	4	10
74832	74874	43	1.42	1	2
74919	75686	768	8.49	2	98
76833	76850	18	10.72	13	13
80076	80117	42	1.64	2	2
80163	80351	189	10.73	5	51
80745	80824	80	1.12	1	2
81419	81426	8	0.38	0	1
82316	82371	56	19.05	19	49
83923	83987	65	4.11	5	6
85203	85316	114	1.44	1	3
86457	86493	37	0.65	1	1
88009	88491	483	0.77	1	3
89260	89277	18	0.00	0	0
90217	90268	52	1.00	1	3
91837	91986	150	1.23	1	3
93325	93415	91	1.23	1	2
93644	93930	287	0.40	0	2
94351	94576	226	8.34	2	32
94865	95013	149	15.37	14	40
95269	95764	496	0.57	1	2
95987	96034	48	1.27	1	2
97651	98059	409	0.38	0	2
100443	100643	201	1.69	1	4
102065	102077	13	59.62	65	65
102453	102457	5	12.80	16	16
104263	104264	2	7.00	14	14
105549	105604	56	46.55	23	104
107957	108212	256	23.35	22	68
109114	109119	6	5.83	7	7
109777	109790	14	6.64	7	8
112695	112870	176	10.71	11	25
115220	115268	49	1.63	2	2
117702	118221	520	0.63	1	3
119340	119384	45	1.31	1	3
