#start	end	length	mean	median	max
1522	2051	530	128.51	72	461
3258	3279	22	128.09	155	164
4995	5239	245	131.68	110	528
7265	7301	37	1387.22	1573	1679
9816	9913	98	474.81	510	727
10826	10886	61	59.54	59.5	73
10958	11111	154	298.79	112	1391
11182	11873	692	30.14	17	315
12309	12467	159	152.73	36	2029
13014	13132	119	230.17	228	279
13556	13713	158	102.68	93	190
13993	14088	96	209.60	97	399
14875	14913	39	61.28	64.5	84
23735	23860	126	509.90	469	811
25442	25643	202	197.16	108	618
25724	25912	189	515.04	43.5	5437
26879	27022	144	5.35	5	20
27440	27594	155	4.78	2	22
29205	29244	40	248.25	265	291
29605	29721	117	71.60	45	170
31066	31188	123	31.74	31	61
31504	31513	10	28.70	32	34
31817	32056	240	49.14	59	92
33152	33223	72	21.07	22	30
33551	33581	31	11.61	13	13
33792	34294	503	8.79	7	19
38945	39055	111	70.50	78	106
39827	39876	50	172.16	211	238
41200	41303	104	12.53	9	24
41910	42003	94	252.40	250	353
42349	42432	84	162.83	146	233
43363	43561	199	78.38	58.5	254
46469	46580	112	114.73	113	219
47205	47365	161	29.99	25	55
48098	48232	135	99.83	82	163
49025	49042	18	14.33	15	17
49937	50020	84	315.77	353	434
51122	51184	63	134.02	135.5	166
51725	51827	103	100.05	106	205
52695	52830	136	111.63	71	443
53242	53662	421	69.84	66	118
57376	57409	34	22.62	23	27
57971	58191	221	72.42	69	158
58480	58585	106	456.31	479	714
59078	59121	44	6372.64	7872	7999
59374	59408	35	89.57	96	100
59865	59895	31	73.06	79	133
63018	63199	182	79.28	86	102
63890	63908	19	92.42	97	105
64965	65011	47	392.26	364.5	531
65348	65551	204	361.17	215	1479
66692	66922	231	38.65	38.5	70
68360	68619	260	380.10	108	1865
71557	71588	32	20.41	15	35
72220	72273	54	86.31	94	131
74509	74628	120	83.47	25	202
75196	75300	105	14.32	18.5	24
76210	76236	27	24.63	26	28
78894	79094	201	102.71	105	193
79205	79207	3	67.67	101.5	103
79292	79485	194	44.14	9	359
80191	80217	27	81.41	84.5	88
80548	80623	76	196.68	213	243
81671	81675	5	67.60	85.5	87
82666	82747	82	82.07	81	125
83981	83995	15	36.53	41.5	47
85166	85182	17	93.47	112.5	129
85570	85635	66	9.68	10	19
86464	86527	64	63.92	13	153
87131	87207	77	26.03	29	35
88002	88203	202	294.31	18	2070
89478	89574	97	844.33	500	1949
89917	89923	7	33.43	38.5	43
92320	92327	8	315.75	362	365
93276	93288	13	66.15	74	79
93949	93950	2	44.50	89	89
96890	96926	37	45.89	50	52
97599	97757	159	102.50	104	210
98349	98479	131	25.41	19	47
99248	99683	436	15.34	11	59
100449	100582	134	49.45	39	102
103661	103709	49	3.51	3	10
105213	105323	111	15.25	8	35
106713	106733	21	168.76	172	217
108149	108155	7	44.86	52.5	53
109776	109782	7	71.43	83	90
117537	117713	177	78.45	80	150
119697	119914	218	67.88	69	115
122171	122316	146	31.23	3	142
