#start	end	length	mean	median	max
187	189	3	0.00	0	0
315	336	22	0.00	0	0
2797	2800	4	0.00	0	0
3728	3733	6	0.00	0	0
5885	5965	81	0.44	0	1
7394	7664	271	0.66	1	3
8616	8728	113	0.36	0	4
9317	9375	59	0.95	0	3
9940	10041	102	0.00	0	0
10083	10091	9	0.00	0	0
10803	10840	38	0.00	0	0
11243	11592	350	2.67	0	23
13508	13595	88	2.41	3	5
14733	14759	27	4.81	5	5
14797	15019	223	0.00	0	0
15965	16093	129	0.00	0	0
16436	16498	63	0.00	0	0
17030	17048	19	0.79	0	2
17490	17872	383	0.00	0	0
19970	20003	34	0.00	0	0
21153	21197	45	0.00	0	0
23058	23340	283	0.00	0	0
24043	24472	430	0.08	0	1
25013	25115	103	0.00	0	0
25800	25806	7	1.71	2	2
28426	28428	3	0.00	0	0
29434	29436	3	0.00	0	0
29980	29997	18	0.00	0	0
31211	31277	67	0.30	0	1
32121	32161	41	0.54	1	1
32447	32548	102	0.00	0	0
32996	33367	372	0.00	0	0
34361	34510	150	0.29	0	2
34814	35338	525	0.00	0	0
37055	37102	48	0.00	0	0
38672	38772	101	0.00	0	0
39532	40127	596	0.00	0	0
41619	41662	44	0.00	0	0
41710	41719	10	0.00	0	0
42908	43197	290	0.00	0	0
44179	44307	129	0.00	0	0
46021	46042	22	0.00	0	0
46088	46185	98	0.37	0	1
47350	47413	64	0.56	1	1
48311	48367	57	0.00	0	0
50405	50446	42	0.00	0	0
51818	52215	398	0.00	0	0
52258	52276	19	0.95	1	1
52538	52645	108	2.50	2	13
52859	52868	10	0.00	0	0
53805	53851	47	1.04	1	2
56684	56685	2	2.50	5	5
57184	57340	157	0.63	0	6
57788	57792	5	0.00	0	0
58741	58874	134	0.81	0	3
58921	58942	22	0.00	0	0
60143	60160	18	0.00	0	0
61079	61102	24	0.96	1	1
61787	61790	4	0.75	1	1
63408	63490	83	0.00	0	0
63540	63544	5	0.00	0	0
64844	64858	15	0.00	0	0
66632	66649	18	0.00	0	0
66887	67047	161	0.00	0	0
68386	68632	247	0.00	0	0
69674	69705	32	0.00	0	0
70863	70875	13	0.00	0	0
72394	72395	2	0.00	0	0
73831	73857	27	0.00	0	0
73897	74012	116	0.00	0	0
74832	74874	43	0.00	0	0
74919	75686	768	0.05	0	1
76833	76850	18	0.00	0	0
80076	80117	42	0.00	0	0
80163	80351	189	0.08	0	2
80745	80824	80	0.45	0	1
81419	81426	8	0.00	0	0
82316	82371	56	0.54	0	2
83923	83987	65	0.00	0	0
85203	85316	114	0.32	0	1
86457	86493	37	0.00	0	0
88009	88491	483	0.00	0	0
89260	89277	18	0.00	0	0
90217	90268	52	0.00	0	0
91837	91986	150	0.04	0	1
93325	93415	91	0.00	0	0
93644	93930	287	0.00	0	0
94351	94576	226	0.50	0	5
94865	95013	149	0.00	0	0
95269	95764	496	0.15	0	1
95987	96034	48	0.00	0	0
97651	98059	409	0.00	0	0
100443	100643	201	0.00	0	0
102065	102077	13	8.31	9	9
102453	102457	5	1.60	2	2
104263	104264	2	0.50	1	1
105549	105604	56	1.32	0	3
107957	108212	256	0.28	0	2
109114	109119	6	0.83	1	1
109777	109790	14	0.00	0	0
112695	112870	176	0.00	0	0
115220	115268	49	0.00	0	0
117702	118221	520	0.00	0	0
119340	119384	45	0.00	0	0
119479	119482	4	0.00	0	0
120983	120995	13	0.00	0	0
122703	123045	343	0.10	0	1
123889	124009	121	0.00	0	0
124775	124815	41	0.00	0	0
128074	128107	34	0.00	0	0
128205	128253	49	0.00	0	0
129910	129979	70	0.00	0	0
130224	130461	238	0.13	0	1
131065	131077	13	2.77	3	3
132476	132480	5	0.00	0	0
133570	133571	2	0.00	0	0
135141	135175	35	0.00	0	0
135330	135974	645	0.00	0	0
136917	136921	5	0.00	0	0
136974	137240	267	0.00	0	0
138963	138964	2	0.00	0	0
139561	139577	17	0.00	0	0
139621	139742	122	0.00	0	0
140745	141352	608	0.06	0	1
141809	141812	4	1.50	2	2
143114	143131	18	3.44	4	4
148801	148805	5	0.00	0	0
150120	150121	2	0.50	1	1
152428	152480	53	0.00	0	0
154935	154938	4	0.00	0	0
157026	157088	63	0.63	1	2
158238	158340	103	1.25	1	4
159256	159278	23	0.00	0	0
159338	159607	270	0.08	0	2
160034	160097	64	0.00	0	0
162801	162905	105	0.42	0	2
162951	162958	8	0.00	0	0
163352	163387	36	0.00	0	0
164375	164462	88	0.00	0	0
165590	165601	12	0.00	0	0
166343	166344	2	0.00	0	0
166963	167190	228	0.41	0	2
168232	168264	33	0.91	0	2
170840	170851	12	0.00	0	0
171287	171510	224	0.00	0	0
172402	172491	90	0.40	0	1
173904	173997	94	0.38	0	1
174946	174947	2	0.00	0	0
176352	176517	166	0.36	0	3
177886	178453	568	0.19	0	3
179216	179377	162	0.00	0	0
182039	182055	17	4.35	5	5
183984	184143	160	5.23	0	24
185569	185594	26	0.35	0	1
185638	185859	222	0.00	0	0
186142	186181	40	0.00	0	0
186971	186985	15	0.00	0	0
188606	188996	391	1.91	0	17
191592	191657	66	0.00	0	0
191705	191781	77	0.00	0	0
192142	192222	81	0.00	0	0
192255	192378	124	0.00	0	0
195571	195582	12	0.00	0	0
196348	196379	32	0.00	0	0
197172	197194	23	2.87	3	3
198053	198099	47	0.00	0	0
198137	198161	25	0.00	0	0
198507	198710	204	0.00	0	0
200319	200398	80	0.00	0	0
202787	202994	208	0.02	0	1
203529	203588	60	0.60	1	1
204249	204359	111	0.00	0	0
206051	206157	107	0.00	0	0
206596	206665	70	0.00	0	0
207887	207895	9	1.78	2	2
208274	208370	97	0.00	0	0
209223	209242	20	2.40	3	3
210143	210254	112	0.15	0	1
